stage,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0
 14-21,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0
 24-34,1.16,0,0,0,0,0,0.82,1.22,0,0,0,0,0,0,0,9.24,0.67,0,0,0,3.62,0,0,0,0
 36-46,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,1.66,9.16,0,0,0.85,0,5.26,1.55,0,0,0
 48-58,0,3.15,0,1.97,0,0.56,0,0,0,0,0,0,7.55,0,0,0.92,0,0,0,0,4.26,0,0,0,0
 60-70,0,0,0,9.98,1.83,0,0,0,1.81,0,0,1.24,0,0,0,2.5,0,0,0,0,11.61,0,0,0,0
 72-82,0,0,0,0.87,0,2.76,0.55,0,2.91,0,0,0,3.68,0,0.98,0.91,0,0,4.58,1.28,8.36,0,0,0,0
 84-94,0,1.21,0,0,2.61,0,0,0,0,0,0,0,1.72,0,1.66,0,0,0.68,3.83,0,58.93,0,0.57,4.34,4.85
 96-106,0,1.91,0,0,0,8.26,2.66,0,9.83,0.6,0,0,0.78,0,0,2.2,0,2.26,0.98,1.88,23.99,0,0,0,0
108-118,0,8.7,2.23,0,0.52,4.87,10.39,0,14.66,1.32,0,0,2.84,0.61,0,10.22,0,1.02,0,0,41.3,0,0,0.86,0
120,0,5.56,2.71,3.25,0,0,21.72,0,9.18,0,4.16,0,27.79,0,0,18.98,0,0,5.02,0,52.22,0,0,0,0
