stage,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,1.82,0,0,1.74,0.87,0,0
 24-34,0,0.79,0,0,0,0,0,0,0,0,11.59,0,1.6,0,0,4.59,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,16.57,0,0,0,2.61,0,0
 48-58,0,0.78,0,0,0,1.7,0,0,3.16,0,0,0.42,0,0,0,5.77,0,0,0,3.24,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.11,1.56,0,0,21.52,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,1.06,0,2.17,0,0
 84-94,0,0,0,0,0,0,0.8,0,0,0,0,0,3.22,0.57,0,25.99,0,0,0,0.8,0,0.68
 96-106,2.1,0,0,2.03,0,0,0.64,0,0,0,0,0,1.44,0,0,25.74,0.63,0,0,0,1.25,0
108-118,0.55,0,0.52,0,0,0,0,0.95,0,0.45,0,7.09,0,0,0,19.59,0,0,0,0,0,0
120,2.29,0,0,0,3.03,0,0,0,0,0,0,0,0,0,2.44,10.15,0,0,0,0,0,0
