stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.54,0,0,0,0,0,0,0,11.61,0,0,0,0,0
  7-9,4.19,0,0,0,0,0,0,0,39.63,0,13.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0
 14-21,0,1.13,1.77,0,0,0,2.76,0,2.14,0,0,1.21,1.76,0
 24-34,0,0,0,0,0,0,0,0,6.5,0,0,0,0.62,1.46
 36-46,0,0,0,0,0,0,1.58,0,1.02,0,0,0,0,0
 48-58,0,2.93,1.7,0,0,0,1.42,0,5.66,0.78,0,0,0,0.64
 60-70,0,0,0,0,0,2.59,0.8,0,1.62,0,0,0,0,0.59
 72-82,0,0,0.77,0,0,0,1.62,0,3.36,0,0,0,0,0
 84-94,0,0,0.73,0,0,0,0.87,0.93,0.95,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0
108-118,0,0,0,1.33,1,0,0.76,0,10.89,0,0,0,0,0
120,0,0,0,0,0,0,0,0,18.27,0,0,0,0,0
