stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,29.37,0,0,0,0,0,0,0,0,0,0,0,0,0,57.04,0,0,0,0
  5-6,43.32,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0
  7-9,7.75,0,0,0,0,3.63,0,0,0,0,24.31,0,0,7.01,0,0,0,0,0
 10-12,10.7,0,7.38,0,0,0,0,0,0,0,51.1,3.44,0,23.66,0,4.97,0,0,0
 14-21,0,5.17,0,0,0,0,0,2.13,0,0,6.29,0,0,0,0,0,1.27,0,0
 24-34,0,0.74,0,0,0,0,0,0.68,0,3.25,18.75,0.6,0,0,0,0,0,0,0
 36-46,0,0,0.82,0,0,0,0,0,0,0,3.4,0,0,0,4.42,0,0,0,0
 48-58,0,0,1.79,0.87,0,0,5.23,2.88,0.4,1.33,9.04,0,0,0,0,0,1.09,1.96,0
 60-70,0,9.02,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.85,0.54,0,0,0,4.74,0,1.38,2.11,0,0,0,0,0,0,0,0
 84-94,0,1.26,0.7,0.87,0,0,0,0,0,0,0.69,0,0,0,0.56,0,0,0,0
 96-106,0,1.49,1.59,1.34,1.32,0,0,4.75,0,0,0,0,0,0,0.9,0,0,0,0.64
108-118,0,0,0,8.53,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0
120,0,3.57,1.69,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0
