stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,107.19,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,3.84,109.13,0,0,0.87,0,0,0,0,0,0.98,4.03,0,0.81,0,2.92,0,2.09,0,0,0,10.62,0.89,0,0,0,20.45,3.73,0,0,2.17,19.05,0,0,0,0,0.95
 24-34,0,1.56,0,153.25,0.66,0,2.99,0,14.1,2.23,0,0,0,16.62,0,0,0,20.3,0,23.85,2.62,0,14.67,27.78,0.98,0,5.43,0,65.7,0,0,0,2.2,14.78,0,0,1.04,0,19.07
 36-46,0,0.61,0,128.24,0,0,5.34,0,18.22,2.69,0,0,0,6.66,0,0,0,25.49,0,80.53,9.29,1.89,8.69,32.51,0,0.68,20.71,0,100.78,0,0,0,0,4.32,0,0,0,0,19.36
 48-58,0,0,0,75.54,0,0,36.9,0,32.37,2.56,0.42,0,0,5.07,0,0,0,13.09,0.51,126.92,4.21,0,18.34,69.4,0.71,0,6.86,0.91,34.44,0,0,0,0,17,0,0,0,0,9.6
 60-70,0,0.57,0,79.72,0.65,0,369.48,0,47.32,3.51,22.59,0,0,0,0,8.53,1.96,17.89,0.75,270.24,6.18,0,10.18,52.8,0,0,2.97,0,76.98,0,0.58,2.94,0,11.17,0,2.01,2.92,0.85,27.24
 72-82,0,0.97,0,38.62,0,0,680.05,0,22.67,9.67,3.73,0,0,1.38,0,0,0,15.7,3.16,287.67,12.13,3.79,15.71,34.5,0,0,10.99,0,22.78,0,0,0,0,12.21,5.94,3.27,9.81,0.93,8.33
 84-94,0,4.75,0,97.84,2.48,0,560.26,0.67,31.46,6.03,17.17,2.14,0,1.87,0,1.32,0,18.58,4.59,259.72,9.62,0,10.8,14.82,0,0,6.08,1.48,73.71,0,0,0,0,22.8,7.33,0,4.48,2.42,7.88
 96-106,0,4.88,0,78.65,2.49,0,632.7,0,28.04,10.01,6.72,5.6,1.32,0,0,2.83,2.26,19.72,3.53,255.03,35.04,6.09,11.84,40.4,0,2.05,13.81,6.06,64.17,0,0,0.64,0,4.32,4.6,10.57,14.66,2.72,14.42
108-118,0,2.24,0,85.52,0.94,0,436.3,0,39.87,9.78,2.66,5.05,2.74,6.69,0.75,0,5.99,20.89,2.68,249.21,12.17,0.57,10.65,24.85,0,0,11.57,10.1,46.18,0,0,0,0,14.01,10,3.01,12.8,4.31,13.97
120,0,9.63,0,83.58,0,2.68,283.83,0,52.29,11.22,1.61,3.56,0,1.85,0,1.8,0,3.15,21.69,219.87,2.68,0,1.77,77.12,0,1.11,22.12,3.42,54.73,0,0,0,0,0,11.83,10.54,6.46,2.7,7.92
