stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.26,549.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,18.65,941.82,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.77,0,0,0,10.03,17.95,0,0,0,0,0,0,0,0
  7-9,0,9.34,0,10.3,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,135.05,3.62,0,0,23.54,3.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.15,0,0,0,4.48,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0,0,35.29,3.3,8.56,0,0,0,0,0,0,0
 14-21,0,0,1.23,1.03,4.47,0,0,0,0,0,0,0,0,0,0,0,12.35,0,0,189.62,14.37,4.07,2.03,0,0.81,5.62,1.23,0,0,0,7.79,0,0,2.94,0,0,0,0,0
 24-34,0,0,1.89,0.6,4.74,0,0,0.67,0,1.66,0,0,1.74,0,0,0,26.09,0,0.78,98.6,19.47,6.07,0.64,0,1.86,28.81,0,4.71,0,0,48.9,2.01,0.65,10.9,0,0,0,0,1.47
 36-46,0,0,1.52,0,3.77,1.62,0,4.39,4.74,0.59,0,2.78,0,0,0,0,5.82,2.08,1,15.85,0,9.49,0,0,0,62.55,0,3.86,2.22,0,95.43,0,0,24.42,0,0,0,0,0
 48-58,0,0,0.41,0,0,3.73,0,9.86,0,2.42,0,1.34,3.16,0,0,0,8.6,0,5.43,6.91,0.4,10.1,2.66,0,0.71,53.8,4.49,1.74,2.72,0,101.61,0.94,0,11.32,0,0,1.1,0,0
 60-70,0,0,0.57,0,2.12,22.13,0,24.07,0,9.47,0,9.76,3.62,0,9.21,0,3.22,13.31,0,0,0,39.64,3.79,0,0,79.58,0,8.84,0.62,0,125.14,0,0,13.61,0,0,0,0,0
 72-82,0,0,0,0,3.55,391.25,0,56.74,3.68,5.64,0,30.06,2.38,0,0,0,0,4.25,1.05,1.03,0.91,47.08,9.07,1.73,1.41,81.89,0,7.07,2.36,0,105.65,0,0,2.97,0,1.49,0,2.99,0
 84-94,0,0,1.05,0,7.49,462.4,0,50.22,0,6.25,0,43.22,1.62,0,0,1.52,11.28,7.33,0.66,0,1.35,46.54,15.67,1.84,0.68,64.39,0.62,1.7,6.3,0,343.13,0,0,17.89,0,0,1.24,0,0
 96-106,0,0,2.53,0,14.02,743.68,0,54.57,1.43,5.61,0,69.2,4.56,0,1.33,1.74,7.61,28.95,0,0,0.69,50.96,12.38,9.8,0,76.69,0,5.55,8.29,0,287.4,0,0,12.57,8.41,1.76,0,1.67,0
108-118,0,0,2.14,0,21.49,339.84,0.51,73.3,0.56,13.14,0.65,63.99,11.28,0,2.59,0.51,5.48,48.23,6.08,8.19,1.24,26.81,18.34,4.94,0.45,92.02,0.69,5.77,4.5,0,259.26,0,0.57,10.96,2.38,0,0,0,0
120,0,0,15.06,0,35.44,458.25,0,79.38,5.8,6.86,0,23.51,9.57,0,1.15,0,9.18,63.46,0,13.95,0,46.47,6.7,71.46,2.43,139.41,0,7.95,1.09,0,194.54,1.86,1.21,25.52,0,0,0,3.21,0
