stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord
  7-9,0,0,0,5.83,0,0,0,0,10.8,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0.82,0.84,0,0,0.83,0.92,0
 24-34,0,0,0,0,0,0,0,0,11.51,0,0,0,0,2.43
 36-46,0,3.57,0,0,1.24,0,1.17,0,3.83,1.56,3.06,0,0,8.09
 48-58,0,0,0,1.85,2.68,0,2.26,0,24.19,0.37,0,0,0,1
 60-70,0.57,0,0,3.08,0,0,11.55,0,23.25,0,0,0,0,0
 72-82,0,0,0.5,6.68,11.4,0,8.62,0,11.96,0,0,0,0,0
 84-94,0,0,0,0.8,0,0,2.14,0,12.37,0,0,0,0,0
 96-106,0,0,0,7.28,0,0,2.09,0,5.75,0,0,0,0,0
108-118,0,0.75,0,0,1.65,0,1.62,0,11.23,0,0,0,0,0
120,0,0,0,19.12,0,1.23,0,0,13.03,0,0,0,0,0
