stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,33.61,642.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.5,399.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0
  7-9,7.86,17.44,0,3.64,0,0,0,27.6,0,0,0,0,36.66,0,0,0,0,0,0,0,0,0,226.31,4.71,0,0,68.77,0,0,0,0,0,0,0,0,0
 10-12,0,11.38,0,20.47,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.32,12.13,0,0,61.62,0,0,0,34.72,0,0,0,0,0
 14-21,0,0,0,1.03,43.1,5.91,0,3.49,1,0,3.82,1.72,0,0.84,0,0.89,0,0,0,16.77,0,1.95,65.83,2.81,1.03,4.37,2.87,0,2.07,15.46,0.9,18.96,30.52,0,1.81,0
 24-34,0,0,0.84,0,12.26,0.95,0,6.58,1.31,0,1.25,0,0,0,0,0,2.46,0,0,3.06,0.63,0.67,46.85,1.98,6.81,4.43,0,0,14.46,0,0.65,2.66,11.61,0,0.68,0
 36-46,0,0,0,0,15.24,1.31,0,11.75,0,0,1.32,0,0,0,0,1.57,0,0,1.46,8.16,0.59,2.57,73.44,1.06,2.99,14.16,0,0,49.43,0,0,0,6.52,0,0,0
 48-58,0,0,0,0,18.42,1.69,0,4.79,0,0,6.7,2.98,0,2.25,0,18.34,0.93,1.34,0,4.27,0,0,39.83,0,3.39,14.98,0,0,24.32,0,0.51,0,4.61,0,7.18,0.89
 60-70,0,0,0,0,20.21,0,0,31.69,8.44,0.83,3.98,1.64,0,0,0,5.43,1.39,0,0,2.25,2.89,0,28.08,0,0.89,1.61,0,0,10.71,0,0,0,0,0,0,0
 72-82,0,0,0,0,12.05,5.33,0,12.16,1.19,0,4.26,1.97,0,0,0,2.86,3.41,0,0,3.5,0,0,40.28,0,8.02,3.05,0,0,2.79,0,1.18,0,0,0,0,0
 84-94,0,0,0,1.04,14.78,6.57,0.78,23.95,0.8,0,0,6.97,0,0,1.55,2.47,1.62,0,0,4.12,3.58,0,22.75,0,6.85,6.04,0,0,32.88,0,0.67,0,6.01,5.33,0,0
 96-106,0,0,5.6,0,6.67,24.15,0.6,9.09,1.87,0,5.4,2.13,0,0,4.69,2.15,1.41,0.63,0,7.67,0,0,7.65,0,4.89,2.02,0,0,35.95,0,0,0,1.51,4.09,0,0
108-118,0,0,3.62,0,16.3,13.24,0,9.85,1.97,0.81,3.64,1.39,0,0,0.7,6.25,1.49,2.02,0,7.96,0,0.62,7.99,0,9.6,10.74,0,2.26,17.2,0,0,0,0,2.5,0,0
120,0,0,0,0,34.81,31.2,0,4.78,6.21,0,5.02,8.61,0,0,0,0,6.31,0,0,0,0,0,25.26,0,13.28,30.96,0,0,26.08,0,0,0,0,0,5.44,0
