stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,42.85,0,0,0,0,0,0,0,0,0,39.58,0,0,0,0,0,0,0,0
 14-21,156.53,438.42,0,1.19,0,0,0,0,11.69,0,0,8.29,0,0,0,0,0,0.84,6.1,0,0,0,0,0,0,0,0
 24-34,13.1,311.07,0,1.11,0,0.84,0,0,7.92,0,0,8.06,0,0,3.12,7.97,0,1.88,106.62,2.47,0,4.24,0.77,3.5,0,1.25,0
 36-46,4.5,35.25,0,0,0,0,0,0,7.26,0,0,0.6,0.71,0,3.59,4.1,0,0,85.3,0,0,2.11,0,0,0,0,0
 48-58,4.42,34.29,0,3.89,0,0,0,0,8.7,0,0,1.69,0,0,0.8,13.14,0,0,76.42,0,0,0.43,0,3.21,0,0,6.1
 60-70,4.14,28.6,0,4.46,0,0,0,1.63,3.4,0,0,0,0,0,0,15.11,0,0,28.8,0,0,1.14,0,0,0,0,0
 72-82,3.96,296.25,0,4.96,0,0,0.75,1.24,4.22,0,0,1.95,0,0,3.7,9.46,0,0,39.24,0,0,0,0,0,0,1.09,0
 84-94,12.9,247.13,0,0.58,0.68,1.38,0,2.91,3.65,0,0,1.54,0,0,0,21.45,0,0,23.51,0,0,0.65,0,0,0,0,0
 96-106,7.07,465.46,0,11.55,0,1.33,0,6.14,1.32,0.92,0.78,0.86,0,9.68,12.63,50.58,0,0,22.44,0,0,1.38,0,0,0,0,0
108-118,19.01,304.92,0,4.98,0,0,0,2.35,0,0.63,4.96,1.79,0.64,0,6.94,18.99,0,2.09,21.61,0,0,3.48,0,0,0.44,2.18,0
120,21.39,210.92,5.3,9.18,0,0,0,3.76,0,0,0,0,1.3,0,0,5.03,2.35,1.54,68.8,0,0,0,0,0,0,0,0
