stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,3.28,0,0,8.31,0,0,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.76,4.28,0,0,5.88,0,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,103.49,0,0,0,0,0,0,0,0.97,0,0,113.63,0,0,0,0,0
 24-34,0,0,2.27,0,0,0,11.05,0,0,0,0,0,0,0,1.24,0,0,0,0.65,0,0,2.76,772.75,0,8.74,0,0,0,0,0,0,0,0,237.93,0,0,0.87,0,0
 36-46,0,0,0,0,0,0,76.44,0,0,11.47,0,0,0,0,0,0,0,0,0,0,0,0,2076.77,0,9.56,0,0,0,2.52,0,0,0,0,346.89,0,0,0,0,0
 48-58,0,0,0,3.79,0,0,226.07,0,0,62.2,0,0,0,0,0,0,0,4.98,6.81,0,0,1.63,2757.44,3.21,11.02,0.51,0,0,0,0,0,0,0,379.96,0,0,1.44,0,0
 60-70,0,0,0,1.54,0,0,431.24,0,0,31.45,0,0,0,0,0,0,0,0,23.63,0,0,0,2863.75,0,11.96,2.6,0,0,4.05,0,0,2.11,1.58,430.08,0,0,0.76,0,4.4
 72-82,0,0,2.21,2.65,0.63,0,722.04,1.43,1.51,29.81,0.94,0.52,0,2.86,0,2.8,0,0,19.79,0.59,6.94,3.49,2418.16,0,7.53,0,0,1.31,2.56,0,0,0,0,179.33,0,0.66,8.95,0.62,7.57
 84-94,0,0,0.84,15.72,0.66,0,379.49,0,0,36.65,0,0,0.7,0,0,0.67,0.69,0,16.97,0,0,0,1608.06,0,13.36,0,0,0,2.24,0,0,0,0,156.89,0.9,0,0,1.01,0
 96-106,0,0,0,5.85,2.41,0,417.96,0,2.47,21.23,2.58,0,0,1.14,0,0,0,0,11.78,0,0,0,1325.98,0,17.49,0,0,1.92,0.83,0,0,0,0,91.89,0,0,1.56,2.21,4.51
108-118,0,0,4.9,11.95,0.49,4.57,333.79,0.49,0,24.7,1.31,0,0,0.6,0,0,0.44,0,6.44,3.95,7.6,1.1,1767.15,0.46,6.21,2.77,0,0,4,0,0,0,0,43.17,0,0,2.31,0,1.42
120,0,0,0,2.7,0,0,285.48,0,10.08,52.93,0,0,0,0,0,0,0,0,32.09,0,0,0,2234.86,0,0,0,0,0,0,0,0,0,0,48.13,0,0,2.01,0,3.85
