stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,4.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,17.13,0,0,0,0,0,0
 24-34,0,0,0,1.23,0,2.39,0,0,1.04,0,0,0,0,0,0,0,5.69,0,0,30.87,0,0,0,136.63,0,4.78,0,0.93,0,0
 36-46,0,0,0,0,0,0.67,0,0,2.07,1.73,0,0,0,0,0.67,0,12.02,0,1.66,58.93,0,0.8,0,106.46,0,10.85,0,0.81,0,0
 48-58,0,0,0,0,0,8.03,0.51,0.57,4.96,15.41,0,0,0,0,1.04,0.64,1.38,0,1.6,54.12,0,0,0,75.65,0.89,10.27,0,0,0,0
 60-70,0,0,0,0,0,20.25,0,1.86,0,34.67,0,0,0,0,9.05,3.27,3.22,0,0,52.16,0,0,6,59.95,0,9.85,0,0,0,0
 72-82,0,5.33,0,2.18,0,3.96,0,0.91,0,153.93,0,0,0,0,1.14,0,3.17,1.17,0,51.44,0,0,0,128.91,1.5,0,0.72,0,0,8.95
 84-94,0,0,2,1.36,0,7.26,0,0,3.71,287.34,0,0.72,0,0,7.44,0,3.48,0,0.73,51.57,0,0,2.96,231.95,0,0,0,0,0,0
 96-106,0,3.89,2.6,1.28,4.31,17.66,0,0,3.5,339.78,1.9,1.75,1.49,0.75,10.33,0,11.06,1.36,0,47.06,0,0,0.96,223.31,0,0,0,0,0,0
108-118,0,0,4.16,0,0,17.97,0,0,3.56,298.72,0,0,0,0,0,0,14.72,0,0,63.52,0,0,0.95,185.19,0,0,0,0,0.57,0
120,0,0,0,0,0,0,0,0,0,269.89,1.85,0,0,0,11.82,0,11.18,0,0,36.64,4.62,0,0,101.2,0,0,0,0,0,0
