stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,18.89,294.94,0,0,0,0,0,0,0,0,0,0,0,35.07,0,0,0
  5-6,14.16,382.46,0,0,0,0,0,0,0,0,48.18,0,0,15.84,0,0,0
  7-9,6.56,8.18,3.37,0,4.53,0,20.95,0,0,0,152.1,4.19,61.02,0,0,0,0
 10-12,0,0,0,0,5.99,0,0,0,0,0,63.31,6.25,24.14,0,5.55,0,0
 14-21,0,0,0,2.41,0.88,1.61,0,0,1.71,0,7.63,0,0,0,0,0.89,1.71
 24-34,0,0,0,0,0.7,0,0,0,0.81,0.72,17.48,0,0,1.37,0,0.65,0
 36-46,0,0,0,0,1.29,0,0,0,0,0,15.23,0,0,0.65,0,0,1.97
 48-58,0,0,0,0,7.92,0.57,0,0,0.42,0,3.66,0,0,0,0,0,0
 60-70,0,0,0,0,5.38,0.78,0,0,0.63,0.66,4.42,0,0,0,0,0,4.49
 72-82,0,0,0,0,2.11,0,0,0,1.09,0,6.32,0,0,0,0,0,0
 84-94,0,0,0,0,0.65,0,0,0,0,0,2.54,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.83,0,0.63,0,0,0,0,0,0
120,0,0,0,0,8.52,0,0,3.76,1.94,0,0,0,0,0,0,0,0
