stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,10.19,0,0,0,0,0.85,5.12,0,0,0,0
 24-34,0,0,3.21,0,1.35,0.86,0,0,0,0,0,0,1.27,0,0,39.95,3.41,0,0,0,0,11.14,0,0,0,0
 36-46,0,0,0,0,8.09,0,0,0,0,0.65,0,0,1.4,0,0,109.09,0.87,0,0,0,0,24.24,0,0,0,0
 48-58,0,0,0.42,0.79,14.13,0,0,10.6,0,0,0,0,1.93,0,2.07,150.3,1.16,0.57,0,0,0,29.34,0,0.46,0,1.61
 60-70,0,0,0,0.62,28.41,0,0,5.9,0,0,0,0,2.07,0,0,208.13,5.37,0,0,0.87,0,39.73,0,0,0,0
 72-82,0,0,0,0.82,34.74,0,0,13.77,0,1.32,0,0.72,5.27,0,0,214.98,0.52,0.69,0,0,0,26.67,0,1.56,0,1.08
 84-94,0,0,0,0,44.41,0,0,12.61,0,0,0,0,2.84,0,0,171.18,2.7,0,0,1.14,0,34.73,0,2.27,0,0
 96-106,0,0,1.67,0.86,44.99,0,1.34,3,0,0,1,0,13.76,0,0,229.07,3.51,1.12,0,2.44,0,12.99,0,2.05,0,0
108-118,0,0,0.41,2.73,43.83,0,0,5.02,4,0,0,0,4.12,0,0,294.87,3.61,0,0,0,0.81,12.21,0,0,3.1,0
120,0,0,0,6.11,61.85,0,0,18.7,0,0,1.33,0,17.27,2.58,0,473.08,1.26,13.55,0,1.15,0,42.58,5.48,0,0,0
