stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,103.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,0,5.47,0,0,4.37,0,14.97,0,0,0,0,0
 14-21,0,0.96,1.04,0,0,0,0,0,0,3.57,0,0,0,0,0,0.99,0,2.22,4.5,0,0,0,0,0,0.91,6.25,0.89,0,4.37,7.61,0,0
 24-34,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.98,9.62,0,0,0,0,0.64,0,0,0.6,0,12.51,4.58,0.74,0
 36-46,0,0,1.86,0,0,2.69,0.57,0,0,0,0,0,0,0,0.7,1.91,0,1.32,9.54,0,0,0,0,0,0,0,10.11,0,0,4.37,0,0
 48-58,0,0,6.63,0,6.3,15.37,0,1.67,1.2,3.41,0,0,0,2.56,0,7.1,0,3.65,16.3,0,0,0,0,0,0,0,0.51,10.57,0,2.67,0,3.74
 60-70,0,0,0,0,27.92,10.06,0,0,0,0,0,0,0.88,0,0,3.95,0,6.83,27.6,0,0,0,0,0,0,0,3.39,9.94,0,0,0,0
 72-82,0,0,3.44,0,13.98,15.35,0,0,1,0,0,0.52,0,0,0,6.51,0,9.39,25.24,0,0,0,0,2.85,0,0,0,20.09,0,0,0,0
 84-94,0,0,0.64,0.69,1.95,21.53,0,2.12,0,0,0,0,0,0,0,3.48,0,11.68,18.88,0,0,0,0,4.19,0,0,0.56,28.34,0,10.47,1,0
 96-106,0,0,2.77,7.81,50.9,109.49,0,0,16.55,0.93,5.45,7.51,2.95,0,0,17,0.56,5.88,49.5,2.28,1.37,0,0,12.65,0,0,1.45,67.35,0,3.23,4.43,0
108-118,0,0,10.99,5.16,5.09,79.1,2.6,0.88,11.75,0,0,1.98,0,0,0.59,13.68,1.84,15.71,43.23,0,0,0,4.45,0.85,0,0,1.47,79.04,0,3.77,1.48,0
120,0,0,1.44,0,0,66.15,0,0,14.89,0,0,3.01,0,0,0,24.62,2.47,15.04,51.06,0,0,0,0,1.43,0,1.12,0,31.52,0,0,2.93,0
