stage,eye,mesenchyme,muscle,neural,periderm,spinal.cord
 24-34,0.82,0,0,0.59,0,0.77
 36-46,0,0,0,2.54,11.88,0
 48-58,0.66,0,0.91,0.52,4.13,0
 60-70,7.69,2.05,0,1.36,3.55,0
 72-82,1.31,3.99,2.29,1.79,1.84,1.36
 84-94,0,0.88,0,0,1.41,0
 96-106,0.99,0.71,0,0,5.09,0
108-118,0,0.6,0,0,0.79,3.69
120,0,0,0,0,1,0
