stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.8,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.12,0,1.66,0,0,1.08,0,0,0,0,0.86,1.39,1.13,9.59,0,0,0,0,0,0.89,0,3.91,0,0,0,0
 24-34,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.69,0,0.69,0,4.07,0,42.67,0,1.31,0,0,0,0
 36-46,0,0,1.89,0,0,0,0,0,0,0,0,2.82,0,0,0,20.01,0.61,0,43.4,0,0,0,0.59,0,101.31,0,3.02,0,0,0,0
 48-58,0,0,0.68,0,0,0,0,3.61,0,0,3.21,6.14,0,0,0,12.26,0.43,0,58.47,0,2.22,0,2.74,0,40.7,0,8.35,0,0,0,0
 60-70,0,0,0,0,0,0,0,9.72,0,0,3.24,26.64,0,0,0,38.85,0.77,0,48.54,0,0,0,0,0,44.99,0.67,0,0,0,0,0
 72-82,0,0,10.75,0,1.12,0,1.54,12.78,0,0,1.83,47.3,0,0,0,127.01,11.08,0,66.75,0,0,3.24,2.58,0,63.38,0,0,0,0,0.93,8.52
 84-94,0,0,7.64,0.74,1.36,0,4.53,29.14,0,0,0,91.72,0,0,0,385.14,6.16,1.83,43.72,0,0.82,0,12.42,0,127.17,0.62,0.64,0,1.26,0,10.61
 96-106,0,0,15.26,0.62,2.73,8.38,5.91,39.88,3.13,0,12.71,84.15,0,0,0,377.37,8.86,0.63,102.5,0,0.77,0,3.25,0.76,133.46,0,0,0,1.88,1.85,0
108-118,0,0,15.23,1.93,4.5,0.79,6.96,19.04,1.14,0,2.82,47.83,2.63,0.77,1.77,656.23,4.18,1.46,78.68,1.52,0,0,4.23,0,111.57,0,0,0.44,1.86,0,7.49
120,0,0,24.94,0,2.98,0,1.09,0,0,8.81,2.04,56,0,0,0,336.65,21.83,0,71.02,0,3.9,0,10.58,0,69.97,0,0,0,0,0,0
