stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,0,0,0
 14-21,2.81,0,0,0,0,0,0,0,0,0,0.9,1.08,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.72,0,0,0,0,0,1.64,0,1.61,0
 36-46,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0
 48-58,0,0,0.42,0,0,0,0.37,0,0,2.73,0,0,0.44,0,0.62,0,0
 60-70,0,0,3.06,0,1.02,0,0,0,0,0,0,0,3.17,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.97,0,0,1.89,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.89,0,0,1.26,3.7,1.03,0,0,0
 96-106,1.61,3.39,0,0,0,0,0.86,1.94,0,0,0.88,1.57,0.59,1.97,0,0,0.61
108-118,2.03,0,2.18,0,0,0,0.8,0.41,0,0,0,1.24,6.8,0,0,0,0
120,2.71,0,0,1.58,0,1.31,0,0,0,0,6.56,10.58,0,0,0,0,0
