stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,96.09,1070.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.85,0,0,0,0,0,0,0,0,0,0
  5-6,28.98,499.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,0,0,3.77,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,109.02,6.25,0,0,29.35,0,0,41.72,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.69,99.23,0,0,61.98,0,0,0,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,0,58.21,4.01,0,1.74,0,3.52,0,0,0,0,0,0,0,0,0,0,0,17.97,0,0,4.78,27.14,14.45,0,0,0,0,19.61,0.91,6.26,4.29,16.64,34.82,0,0,1.23,0,0
 24-34,0,0,0.61,0,40.81,2.22,0,9.19,0,6.24,0.86,3.55,0,0,4.4,0,1.17,0,1.9,0,0,32.18,0.76,0.82,29.93,106.81,10.2,0,2.59,0,0,50.5,0,0,0,4.05,23.14,0,0,3.31,0,0
 36-46,0,0,0,0,20.88,0,0,11.25,0,7.68,4.76,11.54,0,0,0,1.03,0,0,1.96,0,2.18,43.83,9.72,0,18.01,71.41,4.15,0,0.81,0,0,82.9,0,0,0.74,0,20.26,0,0,1.23,0,1.38
 48-58,0.77,0,0.44,0,10.64,0.45,0,14.47,0,0.79,4.58,26.4,0,1.4,0.65,0,5.29,0,0.45,0,0,63.03,2.86,0.79,14.67,84.12,7.14,1.71,1.15,0,0,56.15,0,0,0,0,32.48,0,0,3.72,0,3.52
 60-70,0,0,0,0,13.16,0,0,58.51,0,1.24,7.71,13.78,0,0,0,4.06,0,0,0,2.53,0,118.58,4.43,1.7,3.68,59.34,4,0,10.81,0,1.65,20.31,0,0,0,0,16.1,0,0,1.48,0,0
 72-82,0,0,0,0,0,0,0,71.66,0,6.92,21.7,32.83,0.99,0,0,0.58,0,0,0,0,0,122.11,0.92,6.91,7.09,79.44,3.23,2.27,8.75,0,0,15.37,0,0,0,0,4.73,1.69,2.75,4.72,0.91,4.01
 84-94,0,0,0,0,11.71,3.3,0,34.54,0,4.32,10.24,11.15,4.8,0,0,2.39,0.69,0,1.7,0,0,133.11,9.16,5.78,3.27,40.27,5,0,5.23,0,0,19.3,0,0,0,0,7.46,0,0.88,3.39,0,0.69
 96-106,0,0,0,0,3.33,0.94,0,18.16,0,3.6,9.46,11.94,1.66,0,3.06,2.91,0.6,0,0.92,11.48,1.06,46.92,0,6.75,5,46.2,2.51,0.64,1.4,0,6.23,9.5,0,0,0,0,1.88,0,8.66,3.24,2.34,0.62
108-118,0,0,4.9,0,10.93,0,1.21,26.76,1.26,3.96,5.28,17.59,13.12,0,4.64,4.23,2.11,2.35,0,0.58,0,60.04,0,0,5.32,33.91,0,4.88,2.48,0,3.72,4.79,0,0,0,0,3.66,0.67,0.92,7.87,0.44,8.82
120,0,0,0,0,6.55,0,0,38.43,0,0,4.41,21.88,14.88,0,0,3.33,2.78,4.88,4.26,1.97,0,64.55,1.31,0,2.85,74.17,12.42,0,0,0,0,21.01,0,0,0,0,0,0,6.76,13.17,0,0
