stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,116.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.71,96.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,71.49,7.02,0,0,4.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.81,0,0,0,3.72,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,77.09,0,0,0,29.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.97,0,0,1.77,0,0,0,0,0,0,0,0,0,0,97.04,0.91,0,0,1.7,6.51,1.23,0,4.45,0,0,0,0,2.1,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.62,12.24,0,0,139.37,1.69,0.82,0,1.77,47.66,0.65,0,0,0,0,0.6,0,0,7.17,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.18,0,0,5.66,0,0,0,0,3.18,0,0,86.64,2.65,0,0,1.87,51.39,0,1.14,0,0,0,4.83,0,0,4.13,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,11.05,0,0,1.62,0,0,0,0,0.5,0,0,55.23,1.91,0,0,0,76.47,0,0,0.43,0,0,0,0,0,5.17,0,0,0,0,0
 60-70,0,0,0,0,2.8,0,0,32.93,0,0,0,8.09,0,0,0,29.83,0,0,144.21,3.19,0,0,1.1,51.3,0,2.33,0,0,0,2.92,0,0,1.95,0,0,0,0,0
 72-82,0,0,3.45,0,2.4,1.26,0,26.68,0.91,0,6.26,0.84,0,0,0,31.73,0,0,547.7,14.8,0,0,0.89,91.98,0,0,0.79,0,0,3.82,0,0,10.96,1.58,0.75,2.63,0,4.83
 84-94,0,0,1.53,0,5.88,0.63,0.92,4.27,0,0,2.65,0.86,0,2.29,2.72,89.8,0,0.67,1585.81,19.46,1.05,0,7.29,94.81,0,0,0,0,0,2.56,0,0,8.64,0,0,2.5,0,0
 96-106,0,0,9.82,0,19.14,31.34,3.12,87.05,0,0,16.9,9.17,0,3.58,2.99,112.42,1.2,0.77,3008.52,57.72,0,6.94,1.67,417.66,1.12,2.74,2.88,0,2.17,30.54,0,0,1.22,0.56,0,8.29,0.69,0.8
108-118,0,0,3.96,0,27.23,7.04,9.18,97.64,3.32,1.79,18.06,6.89,0,3.07,0.51,84.86,0,0.69,5491.7,49.43,1.64,1.21,1.61,334.43,0.67,0,10.17,0,0,11.17,1.54,0,0.78,2.44,0.69,3.09,0,0
120,0,0,0,0,9.39,4.53,6.51,29.48,0,1.44,26.66,7.29,0,0,10.29,51.79,4.88,0,2589.02,31.97,0,0,1.06,211.31,1.25,0,0,0,0,4.78,0,0,0,0,0,1.09,0,0
