stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,4.79,0,245.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.89,0,0,0,25.35,0,0,0,0,0,33.54,0,0
 14-21,0,0,66.63,30.44,28.76,12.87,0,0,0,492.52,93.81,10.66,0,0,0,0,36.34,0,0,4.12,205.95,73.69,0,0,17.69,0,0,0.9,0.87,5.3,2171.51,0,0
 24-34,0,0,2.28,15.67,2.21,78.45,0,0,0,251.71,1.13,0,0,0,0,0,132.07,0,2.43,7.68,87.65,0,0,8.35,0,0,0,0,0,0,756.48,0,0
 36-46,0,0,0,4.93,0,44.86,0,0,0,13.54,0,0,0,0,0,1.46,82.62,0.56,0,1.18,37.51,0,0,5.5,0,0.97,2.35,0,0,0,114.81,0,1.6
 48-58,0,0,0,0.57,2.73,50.15,0,0,0,5.82,0,0,0,0.54,0,0,152.17,0,0,0.53,47.48,0,0.5,5.55,0,0,3.73,0,0,0,29.35,0,0
 60-70,0,0,0,0.95,0,27.15,0,0,0,0,0,0,0,0,0,0,155.5,0.62,0.98,0,6.73,0,0,2.74,0,0,3.05,0,0,0,3.89,0.83,0
 72-82,0,0,0,0,0,32.65,0,0,1.38,0.73,0,0,0,0,0,0,183.41,0.61,0,0,19.63,0,0,0.51,0,0,0,0,0,0,4.61,1.26,0
 84-94,0,0.56,0,17.48,3.08,16.58,0,0,1.43,4.35,0,0,0.58,0,0.82,0.95,155.96,0,0,0.74,13.12,0,0,0,0,0,3.33,0,0,0,6.97,1.79,0
 96-106,0,0,0,3.23,0,22.7,0.64,0,0,7.62,0,0,0,0,0,1.06,179.41,0,0,1.18,16.23,0,0,3.97,0,0,3.4,0,0,0,0,0.68,0
108-118,0,0,0.64,1.26,0,28.66,0,0.48,0,3.81,0,0,0,0,0,0.44,151.02,0,0,2.08,6.7,0,2.53,6.12,0,0,1.14,0,0.42,0,0.45,0,0
120,0,0,0,10,0,10.44,0,1.01,0,0,0,0,0,0,0,0,99.53,0,0,0,32.9,0,0,0,0,0,0,0,0,0,1.81,0,0
