stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,9.89,64.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,74.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.29,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,37.58,0,0,0,18.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.17,75.28,12.98,0,9.68,0,0,1.66,1.63,0,0,0,0,4.28,6.89,61.9,1.88,0,5.07,6.72,1.9,25.45,0,0,26.29,9.55,0,0,0
 24-34,0,0,0,1.4,4.39,0.69,0,14.03,0,0,0.84,0,0,0.67,0,0,4.44,1.84,56.58,0,1.54,1.43,0,1.92,0,0,0,4.36,4.7,0,0,0
 36-46,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0.75,0,17.94,0,1.3,0,0,1.14,0,0,0,0,9.56,0,0,0
 48-58,0,0,0,0,7.26,0,0,1.2,0.38,1.32,0,0,0,0,0.45,0,0.45,0,26.11,0,0,0,0,0,0,0,0,0,3.89,0,0,0
 60-70,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,3.48,0,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.58,0,0,15.01,0,0.55,1.61,0,0,0,0.55,0,3.32,0,13.9,0,0,0,0,3.24,0,0,0,0,1.39,0,0,0
 84-94,0,0,0,0,3.89,0,0,3.39,1.15,0,0,0,2.02,0,1.71,0,0,0,13.62,0,0,2.92,0,6.87,0,0.67,0,0,0,0,3.26,5.95
 96-106,0,0,0,0,1.22,0,0,7.74,6.32,2.58,0,0,0,0.74,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0
108-118,0,0,1.13,0.61,27.61,0.42,0.6,2.13,3.35,2.6,3.77,0,0,0,0.41,4.58,5.23,1.74,8.07,0,4.83,5.59,0,21.1,0,0,0.41,0,0,0.63,1.01,0
120,0,0,0,0,1.75,0,0,0,1.03,4.21,1.38,0,0,0,0,0,0,0,16.42,0,0,0,0,10.32,0,0,0,0,0,0,0,0
