stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,72.47,501.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.49,0,0,0,0,0,0
  5-6,45.09,889.73,10.26,0,0,0,0,0,11.49,0,0,0,0,0,0,0,26.6,0,0,0,0,17.82,0,0,0,0,0,0
  7-9,0,10.84,0,0,0,90.08,0,0,11.1,0,0,0,0,0,0,0,612.83,0,0,0,151.3,0,0,0,0,0,0,0
 10-12,0,18.93,14.64,0,0,15.9,0,0,18.18,0,0,0,0,0,0,0,210.19,8.66,0,0,76.14,0,0,7.27,0,0,0,0
 14-21,0,0,0.9,9.02,1.03,5.54,0,0,1.34,0,0,0,1.05,6.71,0,0.92,36.56,0,0,0,0,2.42,7.28,0,5.68,15.42,0,0
 24-34,0,0,0.66,0,0,0.6,0,0.94,0,0,0,0,0,0,0,2.04,15.47,0,0,0,0,4.04,0,0,0,1.15,0,1.94
 36-46,0,0,0,1.55,0,4.36,0,0,0,0,0,0,0,0,0,0.95,5.54,0,1.45,0,0,2.87,0,0,0,1.44,0,0
 48-58,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0.72,0,0,3.41,0,0,0,0,2.78,0,0,0,0.65,0,0
 60-70,0,0,0,0,0,3.08,0,0,0,0,0,0,0,2.61,0,0,20.54,0,0,0,0,3.76,0,0,0,0,0,0
 72-82,0,0,0,2.24,0,2.85,0,3.15,0,0,0.61,1.24,0,0.98,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0.82
 84-94,0,0,0,0,0,9.74,10.84,0,0,0,0,0,0,0.81,1.39,0,1.58,0,0,1.23,0,4.28,0,0,0,0,1.86,0
 96-106,0,0,0,0,0,9.97,0,0,0,0,0,0,0,8.54,0,0,11.57,0,1.4,0,0,2.46,0,0,0,0,0,0
108-118,0,0,0,0,0,1.59,0,1.39,0,4.41,0,0,0,1.72,0,0,3.39,0,0,0,0,2.23,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87,0,0,2.5,0,1.26,0,0,0,0,0,0,0,0,0
