stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0
 10-12,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.28,0,0,0,0,0,0
 14-21,0,0,0,1.47,0.81,0,0,0,0,0,0,0,0,0,7.04,1.44,0,0.82,0,0,3.03,1.31,0,0
 24-34,0,0,0,0,2.24,0,0,0,0,0.93,0,0,0,0,18.57,0,0,0,1.33,0,0,2.9,0,0
 36-46,0,0,0,0,0.65,0,6.64,1.25,0,0,0,0,3.22,0.59,10.91,1.67,0,0,0,0,0,1.53,0,0
 48-58,0,0,0,0,5.8,0,0,0,0,0,0,0,1.8,0.72,4.18,0,0.74,0,7.46,0,0,1.21,1.46,0
 60-70,0,0,0,0,8.58,0,0,0,0,0,0,0,2.7,0,20.61,1.08,0,0,3.16,0,0,1.86,0,0
 72-82,0,0,0,0,3.27,0.75,0,0,0,0,0,0,1.56,0,16.89,0,0.62,0,0,0,0,0,1.6,0
 84-94,0,1.94,0,0.61,0,0,0.56,0,0.76,0.94,0,0,0,0,2.43,0.66,0,0,0.89,0.56,0,0,0,0
 96-106,0,0,0,0.91,0.71,0,0,1.04,0.74,0,0,1.15,2.6,0,7.4,0,0.82,0,2.19,0,0,0,0,2.11
108-118,0,0,0,0,1.37,0,0,0,1.13,0,2.21,0,9.79,0,2.37,0.7,0,0,0,0.42,0,2.58,1.32,0
120,0,0,0,4.34,2.79,0,0,3.25,0,0,0,0,2.38,0,29.46,3,0,0,0,0,0,0,0,0
