stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,xanthophores
  3-4,261.32,5306.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.31,0,0,0,0,0,0,0
  5-6,220.11,2539.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.03,0,0,10.29,51.94,0,0,0,0,0,0,0
  7-9,6.91,15.53,0,25.64,0,0,0,30.64,0,0,15.99,0,0,0,0,0,0,306.22,14.29,0,66.33,4.29,12.8,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,49.2,8.64,0,23.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,2.65,0,0,0,0,0,0,0,0,0,0.9,0,2,8.44,0,0,0,0,0,0.8,0,2.59,1.1,0,0
 24-34,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,3.75,0,0.89,18.17,0,0,0,1.15,0,0,1.68,0,4.19,0,0
 36-46,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,13.79,0,0,21.41,0,0,0,0,0,0,0,0,5.39,0,0
 48-58,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0
 60-70,0,0,0,0,1.39,0,1.62,0,0,2.05,0,0,0,0,2.96,0,1.54,0.6,0,0,0,3.44,0,0,0,0,0,0,0
 72-82,0,0,0.78,0,6.97,0,2.95,0.61,0,2.8,0,0,2.96,0,3.52,0,0.59,6.91,0,0,0,1.39,0,0,0,0,0,2.48,0
 84-94,0,0,1.19,0,36.49,0,6.68,7.48,0,11.54,0,0,1.89,1.25,7.17,0,0.94,7.95,0,0,0,3.27,0,0,0,0,0,6.79,0
 96-106,0,0,0.69,0,60.01,0,9.32,2.29,5.22,17.64,0,0.56,2.64,0,10.52,0.7,0,5.08,0,0,0,0,0,0,0,0,0,13.06,5.87
108-118,0,0,0.93,0,129.98,0.68,45.71,3.17,0.68,27.85,0,0.81,1.53,0,2.99,0,0,4.87,0,0.51,0,2.74,0,0,0,0,0,9.8,0
120,0,0,0,0,126.31,1.46,15.52,16,0,32.4,0,0,0,0,9.97,0,0,11.7,0,0,0,3.31,0,0,0,0,0,2.32,0
