stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.02,41.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.31,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.05,0,0,0,30.89,0,0,0,4.5,0,0,0,0,0,0,0
 14-21,0,0,1.03,9.56,112.5,0,3.13,0,0,0,2.57,0,0,0,0,0,0,0,0,2.67,0,0,8.5,9.76,0.85,0,4.03,0,0,0,1.42,0,1.94,13.63,0,0,437.39,0,0
 24-34,0,0,2.73,4.57,69.22,0,2.39,0,0,0,7.58,0,0,13.84,0,3.15,0.98,0,0,9.67,0,0,3.02,114.27,0.86,2.2,0,0,0,2.28,0,9.12,1.74,16.17,0,0,3385.31,0,11.64
 36-46,0,0,0,5.08,29.37,0,28.4,0,0,0,4.32,0,0,4.41,0,0,0,0,1.71,8.12,0,0,3.68,98.01,2.46,3.93,0,0,0,1.61,0,0,0,17.86,0,0,2968.72,0,0
 48-58,0,0,0,4.83,15.22,0,29.2,4.98,0,0,8.84,0,0,2.39,0,0,0.45,4.38,0,11.76,1.96,4.73,2.7,107.05,0,2.5,1.05,0,0,4.92,0,0,0,17.39,0,0,3131.13,0,0.5
 60-70,0,0,0,0,74.51,0,38.33,0,0,0,2.86,0,0,2.88,13.97,1.6,0,0,0,26.14,0,4.29,16.66,60.08,0,2.5,0,0,1.22,0,0,8.3,0,11.94,0,0,3558.19,2.24,0
 72-82,0,0,0,0.58,21.41,0,50.81,0,0,0,6.71,5.07,0,2.2,5.17,0,0,0,0,76.28,0,1.12,4.37,42.6,0,3.46,9.01,0,0,0,0,0,0,11.46,0,2.84,5701.48,8.15,9.26
 84-94,0,0,0,5.12,3.82,0,32.92,0.71,0.57,0,13.32,0.99,0,0,4.91,1.76,0,0,0,70.83,0,4.63,3.11,65.01,0,8.36,0,0,0,13.75,0,1.92,0,0,0,6.68,5765.22,2.35,0
 96-106,0,0,0,6.2,99.85,0,55.45,17.21,1.34,24.12,24.53,6.4,0,15.5,13.67,0,0.77,3.04,0,106.24,1.42,2.28,10.8,88.75,0.7,7.52,5.53,0,19.11,9.68,0,22.36,0,7.33,0,2.06,6680.47,26.97,0
108-118,0.67,0,0,7.03,2.71,1,84.02,0,19.15,2.43,10.7,0.6,0,0.51,18.22,0.79,0,2.26,0,200.56,0,1.38,6.98,77.67,0,0,1.72,0,3.25,1.78,0,42.1,0,4.93,4.97,4.25,5989.52,14.84,0
120,0,0,0,12.4,2.03,1.23,17.17,4.91,0,0,0,0,0,0,10.66,0,0,0,0,317.97,0,31.48,4.7,122.65,0,13.6,14.64,0,0,14.64,0,0,0,3.65,1.81,9.46,7757.92,0,0
