stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,25.95,0,0,0,0,0,0,0,10.55,0,0
  7-9,0,0,0,21.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.73,13.95,0,0,0
 14-21,0,0.85,0,3.45,0,0,6.36,0,1.67,0,0
 24-34,0,0,0,5.77,0,0,15.1,0,1.06,0,0
 36-46,0,0,0,2.16,1.13,0,5.46,0,0,1.38,0
 48-58,0,0,0,6.84,0.55,0,7.46,0,0,0.94,0
 60-70,0,0,5.46,5.47,0,0,3.02,0,0,0,0
 72-82,0,0,0,1.1,0,1.04,1.03,0,0,0,1.35
 84-94,0,0,0,1.88,0,0,0,0,0,0,0
 96-106,0,0,0,2.04,1.07,0,2.67,0,0,0,0
108-118,0,0,0,10.52,1.6,0,3.48,0,0,0,1.75
120,0,0,0,2.48,0,0,22.03,0,0,0,6.62
