stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.64,0,0,7.05,0,0,0,0,0,0,0
 10-12,0,0,0,11.48,0,0,0,6.08,0,0,0,0,0,0,0,68.19,0,0,35.37,0,0,0,0,0,0,0
 14-21,0,0,51.19,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0.86,0,0,0,0,0
 24-34,0,0,290.16,0,0,0,0,0,0,0,0,0,4.42,0,4.85,32.4,0,0,0,1.35,0,1.39,6.09,2.57,0,0
 36-46,0,0.68,175.75,5.94,0,0,0,0,0,0,0,0,0,0,0.63,23.47,0.66,0,0,3.22,0,0,14.04,0.73,0,0
 48-58,0,0.38,286.44,11.64,0,0,0.46,0,0,0,1.04,0,2.61,0,0,53.64,0,0,0,2.77,0,0,3.7,0.51,0,0
 60-70,0,0.87,207.87,16.02,0,0,0,0,0,13.8,0,0,17.8,0,0,26.64,0,0,0,0.78,0,0,16.29,0,0,0
 72-82,0,2.58,498.27,24.84,0,0,2.6,0,0,0,0,0,41.09,0,0,33.76,0,0,0,0,0,0,1.64,2.04,0,4.52
 84-94,0,1.92,491.55,22.24,0,0.55,2.89,0,1.61,0,0,0,20.52,0,0.78,44.89,2.05,0.65,0,4.29,0,0,0,1.74,0,0
 96-106,0,4.68,535.64,20.57,1.64,1.03,0,0,0,0,0,4.68,35.88,4.02,3.34,24.17,0,0,0,0.73,0,0,0,1.49,0,0
108-118,0,0.43,366.41,8.29,0,0,0.76,0,0,0,0,1.14,5.32,0,0.72,5.08,0,0.42,0,2.94,0,0,0,2,1.31,0
120,0,0,489.1,13.74,0,0,6.89,0,0,0,0,0,2.08,2.35,0,21.05,0,0,0,1.19,0,0,0,0,0,0
