stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,150.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.02,0,0,0,0,0,0,0,0,0
  5-6,35.55,37.84,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,91.24,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,7.64,0,0,0,0,0,0,0,0,0,20.12,0,0,0,0,0,0,0,0,0,16.47,0,0,0,5.47,0,3.78,5.15,0,0,0,0,0,0,0,0
 10-12,0,53.45,30.34,0,754.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.29,0,0,0,10.26,0,3.07,0,0,4.97,0,0,0,0,0,0
 14-21,0,0,2.26,27.67,123.65,0,1.81,0,0,0,0.92,0,0,212.88,0,2.7,0,0,221.29,0,0,21.34,47.05,2.51,0,0,15.94,0,32.21,0,1.21,0,0,268.07,0,10.81,0,0
 24-34,0,0,0,29.9,0.68,0,25.72,0,0,0,0,0,0,178.02,0,0,0,0,119.85,0,0.89,9.16,70.11,0,1.45,0,0,2.97,1.99,0,0,2.8,0,524.96,0,84.38,0,0
 36-46,0,0,0,24.71,0,0,58.41,1.41,0,0,8.24,0,0,50.11,1.05,0,0,6.7,237.04,0,18.67,0.95,100.28,0,1,1.34,0,5.7,2.73,0,0,0,0,1177.69,1.69,11.82,0,0
 48-58,0,0,0,10.42,0,0,124.51,0,0,2.96,14.33,0,0,63.53,0.57,0,0,0,261.86,0.4,14.89,9.07,232.74,0,0.47,0,0,2.31,3.36,0,0,0,0.75,1459.84,7.74,7.95,0,0
 60-70,0,0,0,11.19,0,0,156.44,0.93,0,8.77,14.17,0,0,72.51,2.08,0,1.34,0,131.38,0,20.18,0,125.02,1.13,0,0,0,10.48,6.74,0,0,0,0,990.6,25.61,7.03,1.46,0
 72-82,0,0,0,4.45,0,0,113.72,0,0,19.48,5.18,0,0,67.94,0,0,0,7.12,95.94,0,22.26,0,123.44,0,0,0,0,6.61,1.19,0,0,0,0,556.86,42.52,37.36,1.12,0
 84-94,0,0,0,7.06,2.67,0,131.82,0,0,22.57,17.07,0,0,45.77,1.88,0,0.66,0,110.84,0,46.12,0,66,0,0,3.38,0,1.2,1.38,0,0,0,0,511.31,27.07,17.24,0,0
 96-106,0,0,0,6.52,5.55,0,143.21,0,3.97,37.56,2.55,0,0,61.36,0,0,1.55,15.41,70.29,0.76,53.69,3.57,151.78,0,0,0,0,2.82,2.37,0,0,0,0,219.56,44.65,21.31,0,8.85
108-118,0,0,0,18.32,0,0.5,142.45,0,0,16.27,3.78,0.45,0,55.93,0,0,15.44,0,69.64,0,33.28,3.07,59.04,0,0,0.98,0,8.03,4.68,0,0,0,0,206.01,26.51,7.53,0.56,0
120,0,0,0,0,0,0,207.8,0,0,31.33,10.2,0,0,48.77,0,0,3.91,0,26.37,0,21.08,0,209.42,0,0,0,0,55.05,0,0,0,0,0,334.62,69.05,4.5,8.85,0
