stage,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0.99,1.01,0,0,0,0,0,0,0,0,0,0,1.15,6.89,0,0,0,1.31,0,0,0.96,0,0,0
 24-34,0.61,0.61,0,0,0,0,0,0,0,1.53,0,0,0.96,8.11,0,0,0,1.57,0,0.61,0,0,2.39,0
 36-46,0,0,0,0,0,0,0,0,0,2.06,0,0,0,12.22,0.66,0,0,0,0,0,2.76,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,4.01,0,0,0,8.54,0,0,0,0,0,0,2.01,0,0,0
 60-70,0,3.76,4.63,0,0,0.65,0,0,0,5.65,0.73,0,0.82,37.49,0,0,0,0,0,0,1.19,0,0,0
 72-82,0.71,5.93,2.16,0,0,0,0,0,0,12.43,0,0,3.81,12.51,1.22,0.96,0,0,0,0,3.88,0,1.94,0
 84-94,2.09,0,0,0,1.18,0,0,0,1.88,9.86,0,0,0,5.59,0,0,0,1.68,0,0,2.32,0,0,0.75
 96-106,0.69,0.69,1,0.95,0,0,0,0,0,6.31,0,0,6.5,6.08,2.72,0.85,2.01,1.26,0,0,0.99,0,0.67,3.27
108-118,0,5.33,5.71,0,0,0.75,0.44,0.55,0,10.02,0,1.5,1.63,7.87,4.14,0,0,1.06,0.48,0,0,2.41,0,0
120,0,0,0,0,0,0,0,0,1.11,4.59,0,0,8.07,2.52,0,0,0,0,0,0,0,0,0,0
