stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.73,262.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,43.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.42,4.06,0,0,14.94,0,0,7.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.92,0,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.06,29.26,0,0,106.45,0,0,0,0,32.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.49,5.46,6.54,1.9,0,0,0,9.26,1.08,0,0,0,0,0,0,0,9.61,0,5.13,92.81,14.38,4.86,1.84,1.83,0,0,0.86,21.56,6.69,0,29.35,60.96,0,0,0,0,11.98
 24-34,0,0,1.26,1.6,6.25,0,13.81,0,0,0,12.64,1.01,0,0,0,3.73,0,5.58,5.28,17.4,0,6.62,172.66,4.41,12.1,3.82,0,0,0,0,0,4.98,0,2.07,67.37,0,0,2.53,0,10.83
 36-46,0,0,0,0,2.38,0,80.2,0,0,0,18.43,0,0,0,0,1.42,0,0,3.76,49.05,1.94,10.39,240.09,3.04,13.68,1.4,0,0,1.45,0,0,1.72,0,0,73.88,0,0,1.61,0,8.74
 48-58,0,0,0,0,0,0,112.65,0,0,0.77,27.34,0,1.05,0,0,6.76,0.61,0,0.87,57.3,0.66,6.56,113.5,0.5,13.23,1.64,0,1.01,1.54,0,0,6.53,0,0,52.56,0,0,0,0,18.23
 60-70,0,0,0,0,0,0,183.92,1.06,0,1.38,15.53,0,4.63,0,0,0,2.33,0,0,79.66,1.79,4.65,102.98,0,5.33,0,0,1.22,0,0,0,1.98,0,0,40.38,0,0,0.99,0,7.15
 72-82,0,0,0.71,0,0.88,0,154.32,0,0,0,20.26,0,0,0,1.23,1.61,2.46,0,0.57,94.3,9.69,6.02,120.19,0,8.74,3.84,0,0,0,0,0,0,0,0,35.34,0,2.87,0,1.26,1.18
 84-94,0,0,0,0,3.26,2.66,128.67,0.56,0.91,0.61,21.52,0,0,0.7,1.12,2.01,4.4,0,0,92.34,0.94,2.46,83.36,1.11,2.5,13.45,0,0,5.56,0,0,4.48,0,0,9.85,0,1.98,2.23,1.77,0
 96-106,0,0,0,0,3.82,4.32,140.37,1.19,0,3.68,26.43,0,0,0,0,1.66,6.8,0,0,52.13,2.84,1.93,61.61,0,16.14,10.7,0,2.84,0,0,0,0,0,0,2.71,2.04,0.92,0.91,3.27,0
108-118,0,0,0.8,1.06,12.02,0,142.9,1.28,0,2.55,29.68,0,1.33,0.54,1.11,3.69,0,0,0,81.7,3.33,5.85,73.59,1.03,5.14,7.7,0,5.08,0.68,0,0,2.25,0.95,0,13.74,0.66,0,1.08,0.69,4.85
120,0,0,0,0,2.62,0,48.03,0,0,19.92,26.27,1.12,0,5.71,0,10.27,14.14,0,0,59.88,0,0,156.65,0,10.89,25.16,0,0,0,0,0,1.26,0,0,5.84,0,0,0,2.27,0
