stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,273.35,10103.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.26,0,0,0,0,0,0,0,0,0
  5-6,156.37,3186.35,0,0,0,0,0,0,0,0,0,0,0,26.11,0,0,0,0,0,0,0,0,207.86,0,0,0,9.43,19.29,0,0,0,0,0,0,0,0,0
  7-9,6.74,6.58,0,0,0,0,0,28.82,0,0,0,0,0,30.9,0,0,0,0,0,0,0,0,207.84,10.11,0,0,68.25,6.58,40.87,0,0,0,0,0,0,0,0
 10-12,0,22.44,0,0,0,0,0,0,0,0,0,0,0,61.65,0,0,0,0,0,0,0,0,415.52,0,0,0,57.09,22.54,14.8,9.32,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,12.68,0.91,0,5.73,0,0,0,0,0,5.04,0,1.81,0,0,0,0,0,0,8.73,0.95,1.44,0,0,77.9,0,0.81,0,0,17.81,0,1.22,0,0
 24-34,0,0,0,2.57,4.85,0,0,7.8,0,1.06,0,0,0,2.51,0.6,25.94,0,0,0,3.83,2.26,0,22.01,0,1.37,2.46,0,219.75,0,11.07,10.79,0.97,13.5,0,3.62,0,0
 36-46,0,0,0,0.96,4.05,0,0,43.08,0.67,0,0,0,0,0.76,0,12.2,0,0,0,1.49,2.74,0,42.94,0,0,6.56,0,220.27,0,9.82,0,0,11.61,0,0,0,0
 48-58,0,0,0.54,0,4.77,0,0,240.25,6,4.58,0,3.8,0,3.51,0,4.65,1.9,1.73,0,2.74,0.71,0.4,55.15,0,1.64,7.52,0,135.29,0,2.3,0,0,7.72,0,0,0,0
 60-70,0,0,0,0,10.93,0,0,1567.95,0,4.05,0,17.92,4.18,3.21,0,1.87,0,1.02,0,4.3,1.75,1.27,41.94,5.04,1.19,21.06,0,125.92,0,4.09,0,0,7.88,0,1.29,0.81,0
 72-82,0,0,9.67,0,18.08,0,0,1612.88,0,0,1.86,56.83,20.28,0.5,0,3.61,0,3.84,3.21,5.31,1.66,0,95.75,0,1.64,22.19,0,90.13,0,7.72,0,0,9.39,10.06,2.15,0.52,5.81
 84-94,0,0,15.72,0,18.47,0.75,0,1239.88,0,2.94,0,50.73,32.8,4.51,0.75,6.8,0,2.86,11.44,8.63,11.62,0.65,98.16,0,0.69,23.84,0,205.56,0,18.63,0,0,1.67,14.12,1.04,0,0
 96-106,0,0,3.85,0,19.5,0,5.09,1195.83,0,9.89,0.62,60.12,23.79,0,0.83,10.87,0,7.17,4.97,8.02,6.91,1.72,58.61,0,4.75,21.12,0,180.52,0,13.93,0,0,6.09,11.29,0.74,0,4.51
108-118,0,0,3.36,0,21.56,0,6.7,987.35,0,2.96,0,97.58,36.34,0,0.44,19.48,0.43,12.57,3.31,7.14,9.11,0.55,72.04,0,3.64,23.62,0,166.2,0,13.76,0,0,9.88,15.02,1.69,0,0
120,0,0,9.26,0,41.88,0,0,640.92,0,13.73,0,120.63,38.06,0,0,11.01,0,4.48,4.74,13.65,1.1,1.46,118.21,0,21.16,37.82,0,142.95,0,16.64,0,0,19.46,9.11,11.28,0,0
