stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,43.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,15.3,49.83,11.5,42.24,0,0,7.06,4.54,1.07,0,0,0,0,2.51,0.97,47.64,0,0,38.92,434.72,10.33,0.87,3.74,9.3,7.67,3.89,60.85,0.86,0.88,66.2,150.85,0,0,8.12,0,0
 24-34,0.83,0,0.67,3.17,0,20.8,0,0.83,2.84,0,1.52,0,0.62,0,0.82,0,0,13.18,0,0,6.19,128.41,0.83,1.44,1.1,0,8.51,0,0,0,0,3.45,31.13,0,0,2.37,0,0.69
 36-46,0,0,0,0.57,0,19.67,1.35,0,6.97,1.45,1.32,0,0,0.57,0,0,0,10.02,0,0,4.79,130.1,0,4.64,0.57,0,7.04,0,0,0,0,0,34.13,0,0,1.58,0,0.68
 48-58,0,0,0,0.95,0,25.44,0.46,0.97,17.64,0,0,0,0,0,0.41,0,0,9.88,0,1.67,1.44,125.33,0,1.74,0,0,10.42,0,0,0,0,0,24.15,0,0,2.03,0,1.28
 60-70,0,0,0,1.51,0,71.09,6.05,0,15.95,0,0,0.64,0,0,0,0,0,19.12,0,0,1.53,191.24,0,1.54,0,0,10.68,0,0,0,0,0,11.38,0,0,0,0,0
 72-82,0,0,0,7.81,0,69.88,2.98,0,13.17,1.23,0,0,0,0,0,0,0,25.65,0.95,0.94,1.88,169.5,0,0.58,0,0,12.37,0,0,0,0,0,32.29,0,0,2.06,1.14,0
 84-94,0,0,0,2.04,0.83,61.53,1.69,0,4.67,0,0,0,0,0,0,0,0,22.58,0,0.55,1.75,113.14,0,0,1.22,0,18.08,0,0,0.67,0,0,9.06,0,0.84,0,4.35,0
 96-106,0,1.23,0,1.97,5.96,62.81,0,0,20.25,0.69,0,7.3,0,2.85,0,1.13,0,19.97,0.83,1.82,3.88,128.93,0,1.24,2.13,0,28.42,0,0,0,0,0,0,1.8,0,0,0,0
108-118,0,4.12,0,3.78,0,64.78,2.01,0.62,21.06,0,0,0.42,1.47,0.84,1.71,0,0,31.95,0,1.6,1.58,259.35,0,0.64,1.08,0,15.31,0,0,1.88,0,0,8.41,0,0,1.83,1.28,0
120,0,0,0,0,2.17,77.27,0,1.69,16.66,0,0,1.06,0,0,0,0,0,16.83,0,0,2.36,166.76,0,0,0,0,15.66,0,0,0,0,0,0,0,0,0,0,0
