stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,39.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,20.67,4.8,7.35,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.7,4.59,0,0,12.04,0,0,0,0
 14-21,0,0.99,1.21,0,0,0,0,0,0,0,4.73,0,0,0,0,1.07,1.35,0.85,0
 24-34,0,0,2.17,0,0,0,0,0.74,1.32,0,9.21,0,0,0,0,0,0,0,0
 36-46,0,0,0.91,7.86,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0
 48-58,0,0,1.42,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0.6,0,0
 60-70,0,0,3.51,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,4.94,0.51,12.42,0,0,0,0,0,2.21,0.65,0
 84-94,0,0,0,0,0,0,0,0,2.67,0,2.16,0,0,0,0,0,0,0,5.09
 96-106,0,0,0,0,0,0,1.06,0,2.06,0,2.76,0,0,2.05,0,0,0,0,0
108-118,0,0,0,0,0,2.09,0,0,1.46,0,1.41,0,0,0,0,0,0,0,0
120,0,0,0,0,5.66,0,0,6.68,0,0,3.25,0,0,0,0,0,0,0,0
