stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,61.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,0,0,0,0,0
 14-21,0,1.07,0,0.98,0,0,0.97,0,0,0,0,0,0,0.85,0,0.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0.79,10.26,0,0,2.35,0,0
 36-46,0,0,0,0,0,0,0,0,1.71,0,1.78,0,0,10.07,0,0,2.5,0,1.16
 48-58,0,0,0,0,0,0,3.71,0,0.69,0.44,1.78,0,0,3.23,0,0,0,0,0.47
 60-70,0,0,0,0,0,0,3.46,0,0,0,0,0,0.8,1.67,0.69,0,2.08,0,1.37
 72-82,0,0,0,0,2.04,0,8.87,0,0,0,2.71,0,0.73,4.01,0,0,0.94,0,0
 84-94,0,0,0,0,0.71,0.74,0,1.31,0,0,3.63,0,0,1.62,2.58,0,0,2.41,0
 96-106,0,0,0,0,0,0,6.51,1.55,0,0,5.65,0.78,0,0,0,0,0,0,0.99
108-118,0,0,1.5,0,1.38,0.61,1.38,1.6,0.68,0,4.84,4.01,2.38,4.36,0,0,4.24,0,1.38
120,0,0,2.9,0,1.56,0,0,14.05,0,0,8.68,0,0,7.02,0,0,0,0,0
