stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.07,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.92,0,0,0,0,0,0,0,4.33,2.33,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,1.08,0,0,0,0,0,0
 24-34,0,0,0,1.36,19.66,0,1.4,0,0,0,0,0,9.09,1.47,1.79,0,0,0,8.45,1.23,0,0,1.27,7.68,1.96,0,0,1.34,9.72,2.52,1.96,7.59,0,0,1.08,0,2.38
 36-46,0,0.73,0,0.83,0,0,1.13,0,0,0,0.7,0,14.1,0,0,0,0,0,31.1,1.34,0.72,0,0,27.43,0.76,0,0,0.64,3.23,0,0,2.26,0,0,0.68,0,3.38
 48-58,0,0,0,0.49,1.8,0,2.14,0.41,0.37,0,0,0,7.02,0,0,0,0,0,6.03,1.07,0.46,0,0,28.83,0,0,0,0,2.55,1.43,0,8.75,0,0,5.97,0,11.45
 60-70,0,1.23,0,0,1.97,0,8.88,1.68,0,0,7.72,6.7,0,0,2.14,0,0,0,2.24,4.05,2.63,0,3.64,44.78,0,2.66,0,0,8.27,0,0,3.35,0,0,0,0,5.59
 72-82,0,5.54,0,2.33,15.67,0,29.36,0.65,0,1.18,20.02,3.69,1.7,3.55,8.83,0.59,0,3.49,20.8,16.94,0,0.56,4.39,76.92,1.39,0,0,0,5.83,0,0,11.51,5.47,0,9.3,0,13.45
 84-94,0,3.84,0,0,17.95,0,65.91,0.79,0,0,6.61,13.01,1.4,2.68,1.77,1,0,0,3.1,1.82,2.39,0,0,73.47,0,0.59,0,2.79,12.33,0,0,0,15.53,0,10.32,0,7.42
 96-106,0,1.43,0,11.35,19.85,0,244.68,0.64,0.57,0,76.22,41.15,0,8.6,2.3,0.95,0.6,0.63,0,20.61,2.71,0,0,117.23,0,1.08,0,1.37,8.96,0,0,9.63,42.5,1.16,16.21,0,28.8
108-118,0,0,0.42,23.32,13.23,6.81,509.53,0.89,0,0,85.11,38.74,0,14.29,3.02,2.15,0.87,0.76,7.62,16.58,2.01,0,1.78,144.98,0,0,1.19,2.07,8.38,0.94,0,0.62,30.83,0.54,15.39,1.2,30.09
120,0,15.09,4.41,3.22,19.93,0,313.71,0,0,0,42.06,48.5,0,12.55,0,0,4.79,8.52,1.61,12.03,0,0,0,235.32,0,0,0,0,9.6,3.56,0,0,24.52,8.97,24.04,0,11.72
