stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,40.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0
 10-12,0,0,15.07,0,0,0,0,0,0,0,3.59,6.45,0,0,0
 14-21,0,0,1.92,0.84,0,0,1.08,0,0.86,0,2.27,0.91,0,1.41,2.78
 24-34,0,0,0,0,0,0,0,0,0.75,0,5.65,0,0,0,0.74
 36-46,0,0,0,0,0.58,0,0,0,0,0,0.88,0,0,0,0
 48-58,0,0,0,0.37,0,0,0,0,0,0,0.76,0,0,0,1.51
 60-70,0,0,0,0,2.99,0,0,0,0,0,5.48,0,0,0,0
 72-82,0,0,0,0,0,0.56,0,0,0.67,0,2.71,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.67,0,0.77,1.48,0,0.66,0,0
 96-106,0,0,0,0,0,0,0,0,1.15,0,2.89,0,0,0,0
108-118,0,0,0,0,1.59,1.58,0.65,0,0.67,0,4.06,0,0,0,0
120,0,0,0,0,1.2,0,0,0,0,0,4.29,0,0,0,0
