stage,blastomeres,epidermis,eye,glial,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,48.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.65,3.24,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,1.25,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.67,11.15,0,0,0,0.71,0,0,0
 36-46,0,0,0,0,0.89,0,0,0.74,0,0,24.96,0,0.76,0,0,0,1.93,0
 48-58,0,0,6.84,0.94,0,0,0.55,0,0.4,0.4,23.2,0,0,0,0,0,3.37,0
 60-70,0,0,21.07,0.84,0,0,0,0,9.94,0,29.36,0,0,0,0,0,7.46,0
 72-82,0,0,10.8,0,0,0,0,0,2.47,0,41.26,0,0,0,0,0,1.15,0
 84-94,0,0,7.29,3.01,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0
 96-106,0,0.93,16.84,2.72,0,0,0,0,1.41,0,17.61,0,0,0,0,0,0,0
108-118,0,1.11,6.1,0,0,0.45,0,0,0.45,0,10.95,0,0,0,0,0,0,0.52
120,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,7.55,0
