stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.29,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.53,0,0,0,0,0,0,5.44,0,0,0,0,0
 24-34,0,0,20.73,0.97,0,37.49,0,0,0.61,0,0,0,0,0,0,0,0.78,1030.59,0,0,3.36,0,1.99,0.68,57.85,0,0,0,0,0
 36-46,1.07,0.57,207.53,0,0,408.6,0,0.56,0,0,3.97,0,0,0.67,6.09,0,1.81,3298.02,14.87,0,0,0,8.8,0,637.02,0,0,0,0,0
 48-58,7.13,0.45,491.85,0.77,0.45,1173.14,0,0.63,0.6,0.4,0,0.44,0,0,14.77,0,1.6,3372.32,0.46,0,0.97,0,1.55,0,1233.83,0,0,5.17,0,11.94
 60-70,7.28,0,327.41,0,0,361.38,0,0,0,0,0,0,2.53,0,22.88,0,0,1380.93,0,0,0,0.63,2.44,0,291.91,0,1.5,0,0,11.06
 72-82,4.3,0.89,307.63,0,1.78,354.03,0,0,0,0,0,0,0,0,8.87,0,0.58,768.74,0,0,1.1,0,1.14,0,127.23,0,0,1.05,0,0
 84-94,3.96,0,154.33,0,0,179.93,0,0,0,0,0.64,0,0,0,4.49,0,0,430.41,0,0,0,0,1.97,0,46.47,0,0,0.93,2.93,0
 96-106,1.24,4.77,184.72,1,1.74,217.82,0,0,0,0,0,0,2.16,0,9.83,0,2.14,520.47,0,0,0,0,4.38,0,17.83,0,0.77,0,0,0
108-118,2.68,0,127.89,0,0,223.96,1.03,0,0,0,0,0,0,0,5.15,0.71,0,805.57,0,0.66,0,0,0.6,0,12.43,0.71,0,0.99,0,0
120,15.5,0,137,0,0,257.98,0,0,0,2.86,0,0,0,0,2.11,0,0,715,0,0,0,0,1.84,0,5.71,0,0,0,0,0
