stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.65,0,0,7.1,2.86,2.26,0,0,1.34,0.97,0,0,0,0,0,0,0,0,4.73,0,0,4.2,49.03,0.89,0,0,0.8,0,3.25,0,0.84,0,3.13,11.86,0,0,0,0
 24-34,0,0,0.59,2.82,0,6.99,0,0,0.65,0,0,4.3,0.9,1.71,0,0,0,0,7.75,0.87,0,1.79,105.45,0.6,0.68,0.77,0,0,4.41,0,0,0,0.72,24.58,0,1.88,0,0
 36-46,0,0,0,0,0,21.95,0,0.96,3.79,0,0,0,0,0,0,0,0,0,11.7,1.49,0,1.57,102.48,0,0,0,0,0,6.48,0,0,0,0,18.3,0,4.97,0,0
 48-58,0,0,0,1.27,0,27.73,0,0.47,17.88,3.05,0,0,1.31,0,0,0,0,0,16.79,1.17,0,0.76,76.67,0,0.85,0,0,0,8.05,0,0,0,0,12.9,0,1.06,0,0
 60-70,0,0,0,0.6,0,52.47,0.61,0.78,21.79,0,0,0.92,1.38,0,0,0,0,0,7.79,0,6.05,0,59.12,0,0,0,0,0,2.25,0,0,0,0,7.89,0,0.72,0,0
 72-82,0,0.54,0,2.21,5.14,54.54,0,0,14.33,3,0,0,0.78,0,1.54,0,0.74,0,20.07,0,2.31,0,86.41,0,1.07,0,0,0,0,0,0,0,0,6.59,0,2.74,0,0
 84-94,0,0,0,0.64,0,29.35,1.94,0,4.34,1.22,0.6,0,1.24,0,4.49,0.63,3.86,0,15.47,2.12,0,0.66,83.27,0,0,0,0,0,15.22,0,0,0.6,0,2.78,0,3.17,0,0
 96-106,0,0,0,0,13.54,38.24,0.91,0,5,0,0,0,1.64,0,0,2.91,0,0,10.84,1.42,5.3,0.6,51.79,0,0,1.09,0,0,13.32,0,0,0,0,0,1.59,3.7,1.57,0.62
108-118,0,0,0,2.75,0,18.25,0,0,6.48,0.47,0,0,0.62,0,0,0,0,1.13,14.19,2.16,2.15,0.55,68.25,1.15,0,0,0,1.52,3.29,0,0,0.55,0,1.8,0.42,0.53,1.93,0
120,0,0,0,3.07,1.14,27.62,0,0,14.13,0,0,0,0,0,0,1.11,0,0,4.67,0,0,5.95,62.74,0,1.45,0,0,0,5.28,2.5,0,0,0,0,0,0,0,0
