stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,48.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,5.5,0,0,0,0,0,0
 14-21,0,0,0,1.34,0.88,0,0,0,1.57,0,0,0,0,0,0,1.4,0,0,38.42,0,0,0,0,0,12.67,0,0,0,0
 24-34,0,0,0,0,2.25,0,0,0,2.74,0,0,0,0,0,0,2.15,0,0,140.58,0,0,7.49,0,1.06,15.26,0,0,0,0
 36-46,0,0,7.82,0,2.09,0,0,0,38.43,0,0,0,0,0,0,5.49,0,0,157.19,0,5.02,18.59,0,0,20.25,0,0,0,0
 48-58,0,0,0,0,4.53,0,0,0,16.21,0,0,0,0.95,0,0,1.27,0,0,131.75,0,3.67,44.96,0,0.69,12.68,0,0,0.39,0
 60-70,0,0,0,0,15.34,0,1.84,0,28.09,0,0,0,3.99,0,0,3.1,0,0,79.44,0,4.05,67.72,0,2.87,4.32,0,0,0,0
 72-82,0,0,1.16,0,31.12,0,0,0.62,31.28,0.77,0.74,0,0.6,0,0,3.48,6.94,0,109.57,0,9.32,219.24,0,1.67,6.13,0,0,0,0
 84-94,0,0,1.11,0,30.58,0,0,0,28.45,0,1.68,0,7.95,0,0.58,0.62,0,0,86.79,0,27.89,310.27,0,0,9.36,0,0,3.59,2.61
 96-106,0,0,12.84,4.09,23.17,0,3.76,0,32.88,0,0,0,8.94,1.19,0,1.99,0,0,87.07,0.57,37.28,340.61,0,0,0,0.82,0,5.78,0
108-118,0,0,4.91,11.22,21.01,0.49,1.62,0.53,53.43,0.96,0,0,4.14,0,0,4.1,0,0.42,92.79,1.85,30.12,414.39,0,0.79,1.43,0,0.43,1,0
120,2.23,0,19.3,0,16.95,0,0,0,31.07,1.61,2.91,2.22,2.45,0,0,21.84,2.76,0,144.31,0,26.78,344.72,0,0,0,0,0,0,0
