stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.06,84.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.82,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.58,7.89,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,6.77,0,0,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.87,0,0,0,18.11,0,5.07,9.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.76,3.77,3.47,0,0,1.4,0,1.19,0,0,0,0,0,0,0.95,3.42,0,0,1.68,62.01,0,2.95,0,0,0,2.05,2.71,0,8.16,12.55,15.6,0,0,0,0,0
 24-34,0,0,0,1.2,6.51,1.42,24.17,0,0,0.72,0,0,2.96,0,3.16,0,2.24,0,3.27,14.12,0.69,0,13.74,175.31,11.09,3.97,7.9,0,0,4.14,0,0,0,0.65,33.56,0,0,23.16,0,31.67
 36-46,0,0,0,0,8.6,7.09,20.02,0,0,2.13,1.39,0,0,0.72,0,0.74,0.6,0,20.19,5.33,0,0,0.71,192.43,8.87,2.88,0.78,0,0,21.44,0,0,0,0,19.18,0,0,21.29,0,25.34
 48-58,0,0,0,0,7.97,0.48,52.94,0,1.12,8.32,0,0.76,1.74,0.41,1.83,3.67,0.45,0,15.38,17.71,0,0,0.89,272.37,14.54,3.2,5.73,0,0,1.89,0,0,0.73,0,35.38,0,0,22.89,0,34.37
 60-70,0,0,0,0,7.96,0.96,63.82,0,0,8.5,1.98,0,3.33,2.45,0.86,3.65,1.13,0,5.06,20.18,0,1.48,1.26,390.7,9.81,0,0.63,0,1.22,0,0,0,0,0,14.07,0,0,21.62,0,23.68
 72-82,0,0,0,0,9.31,3.88,65.96,1.8,1.88,15.53,0.53,0,0.84,2.75,1.74,4.83,2.5,0,9.63,22.78,0,1.92,0,393.58,10.46,1.96,8.58,0,0,0.96,0,0.64,3.02,0,9.46,0,1.4,15.68,0,7.61
 84-94,0,0,0,0,1.75,10.78,36.14,0,0,3.02,0.68,0,0,5.14,0.55,4.1,10.05,6.31,27.46,19.85,0,1.93,5.6,277.64,40.22,0,14.31,0,0,1.2,0,0,0,0,6.62,1.4,1.28,18.01,1.13,7.98
 96-106,0,0,0,0,3.69,2.43,40.52,0.87,0,4.62,0.85,0,1.02,7.89,1.72,10.49,4.47,9.65,6.04,27,0,0,0,170.45,12.46,0.72,12.14,0,0,4.67,0,0,0,0,0.73,2.83,0,18.71,1.94,26.95
108-118,0,0,0.8,0,4.03,1.12,26.11,0.42,0,5.42,4.12,0,0,8.23,0.42,12.68,8.05,0,9.37,20.43,5.97,2.52,3.14,263.57,19.33,0,12.76,0,0,1.38,0,0,0.69,0,4.59,10.63,0,44.11,0,22.8
120,0,0,0,0,5.75,9.54,31.38,1.61,0,27.24,5.3,0,4.47,11.24,0,6.18,15.95,0,9.39,20.87,0,0,4.91,552.48,26.29,0,7.96,0,0,0,0,0,0,0,0,0,8.19,52.07,0,21.5
