stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,20.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.73,0,0,0,0,8.95,0,0,0,0,0,0,0,14.89,4.17,0,0,13.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,23.19,0,0,0,0,0,4.75,0,0,0,0
 14-21,0,2.38,0,1.29,0,0,0,0,0,0,0,0,0,3.6,0,19.31,3.79,0.83,0,0,0,0,0,14.89,0,152.86,593.97,0.91,0,0,0
 24-34,0,0,0.62,0.63,0,0,0,0,0,0,0,0,0,7.73,0,13.42,20.02,0,0,0.64,0,0,0.67,0,0.98,25.62,211.93,15.26,0,2.34,0
 36-46,0,0,0,0,3.98,3.6,0,0,0,0,0.67,0,0,14.6,1.94,5.23,26.01,0,0,0,0,0,0,0,0,0,0,3.95,0,2.44,0
 48-58,0,0,0,6.58,0,0.89,0,7.66,0,0,0,0,0,14.15,0,20.73,9.77,0,0,0,0,0,0,0,0,1.71,0,4.86,0,0,0
 60-70,0,0,0,6.69,2.89,0,0,1.45,0,0,0,0,0,13.51,0,4.79,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,17.62,15.32,0,0,0.97,0,0,0,0,1.42,4.74,0,4.12,3.8,0,0,0,0,0,0,0,0,2.35,0,0,1.56,3.16,0
 84-94,0,2.5,0,1.49,9.69,0,1.75,2.44,0,0,0.78,2.29,0,6.63,0,5.36,13.5,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.05,0,0,0,0,0,1.72,0,0,4.71,0,5.13,1.49,0,0,0,0,3.28,0,0,0,0.6,0,0,0,12.31,0
108-118,0,0,0,3.21,3.07,0,0,0,0,1.25,0.83,0,0,0.55,0,11.59,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.4,0,8.07,0,0,0,0,0,6.79,1.89,0,0,6.82,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,17.7
