stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,3.78,0,0,0,0,0,0,0,0
 10-12,30.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.44,0,0,0,253.92,26.88,0,0,53.71,0,0,0,0,0
 14-21,0.93,4.27,2.62,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,3.43,16.87,0.9,0,1.05,0,186.18,37.35,12.62,187.67,1.29,0,1.41,0,0
 24-34,0,2.65,0.89,0,5.24,0,0,0,0,0.63,0,0,6.57,10.02,1.97,0,1.75,5.07,0.88,0,0.75,58.84,0,2.67,0.62,0,674.16,0,0,24.58,2.79,0,1.13,0,0
 36-46,0,0,0,0,5.47,0,12.68,2.42,1.16,0,9.11,0,0,18.27,0.61,0,6.19,5.03,1.21,0,0.74,36.2,0,0,0.71,0,878.85,0,0,0,8.85,0,10.28,0,0
 48-58,0,5.05,0,0,13.77,0,1.04,0,2.57,0,1.19,0,0,12.34,3.99,0.48,0,8.64,1.66,0,0.94,51.02,0,1.01,1.93,0,468.06,0,0,0,12.03,0,4.2,0,0
 60-70,0,11.63,0,0,24.87,0,5.71,0.76,3.66,0,0,0,0,2,0,0,0,23.28,3.4,0,0,33.49,0,0,0,0,471.14,0,0,0,10.77,0,0,0,0
 72-82,0,10.28,0,0,27.25,0,6.14,0,1.83,0,0,0,0.51,7.63,0.92,0,0,26.98,0,0,1.63,27.21,0,0,5.19,0,592.91,0,0,0,2.06,0.78,1.79,0,0
 84-94,0,25.91,3.52,0,10.84,0.75,15.64,0.67,2.89,0.9,0.66,0.97,1.69,10.54,6.65,0,0,16.07,5.67,0,1.22,56.98,0,3.8,3.58,0,1453.96,0,0,0,0,0.57,2.97,0,0
 96-106,0,48.07,5.35,3.47,23.12,0,27.38,1.63,9.33,6.54,0,0,0,28.38,9.34,7.08,0,20.44,16.31,2.88,0,57.45,0.7,11.08,4.25,0,1543.79,0,0.7,0,3.58,0,3.01,1.85,0
108-118,0,75.47,1.34,0,21.86,0,61.84,1.16,3.15,5.89,0,0,1.44,21.57,3.01,8.92,0,31.26,22.53,3.01,0.88,46.12,0,1.8,10.95,0,1666.12,0,0,0,0.57,3.7,3.31,1.43,0
120,0,82.6,0,0,14.72,0,39.9,0,14.58,7.36,0,0,0,16.64,6.51,5.62,0,38.02,8.07,0,0,64.51,0,1.11,2.11,0,967.29,0,0,0,0,0,1.54,0,9.68
