stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.02,372.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,0,8.91,0,0,5.9,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,165.62,0,0,0,26.19,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.76,0,5.14,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.84,0,0,0,9.36,0,0,27.54,0,0,0,0,0,0
 14-21,0,0,0,0,11.57,1.7,0.98,0,0,0,0.96,1.88,0,0,0,0,0,0,0,0,0,0,0,0.82,33.17,0,0,0.95,0,0,1.88,0.89,4.35,12.97,0,0,0,0
 24-34,0,0,0,0,4.8,0,3.12,0,0.85,0,3.09,0,0,0.95,0,0.68,0,0,0,0,11.42,0,0,5.08,160.81,4.37,2.5,2.44,0,2.69,0,1.45,1.88,41.91,0,2.7,0,0
 36-46,0,0,0,0,2.05,0,30.84,0,0,0.57,7.06,0,0,0,0,0,0,0.72,0,0,4.83,0,0,1.16,136.99,0.58,0,0,0,5.53,0,0,0,14.96,0,0,0,0
 48-58,0,0,0,0,1.99,0,31.19,0,0,1.28,2.89,0,0,0,0,0,0,0,5.32,0,5.92,0,0,1.26,83,0,0,0,0,12.04,0,0,0,16.55,0,0,0,0
 60-70,0,0,0,0,4.75,0,36.7,0,2.8,0,6.22,0,0,0,0.62,8.53,0,0,0,0,21.09,1.09,0,7.46,118.35,10.45,1.49,1.48,0,1.22,0,1.35,0,14.9,0,4.38,0,0
 72-82,0,0,0,0,5.41,0,41.82,0,4.04,1.26,7.65,0.94,0,0,0.83,1.73,0,1.53,0,0,14.85,0,0,3.54,114.23,0,0,0,0,1.31,0,0,0,19.29,0.74,4.19,0.76,1.6
 84-94,0,0,0.81,0,2.96,0,7.91,0,0,0,9.65,0.57,0,0,1.36,0,0,1.52,0,3.13,7.91,0,1.06,0.79,57.08,0,0.93,0,0,1.32,0,0.96,0,4.9,0.78,0,1.63,0
 96-106,0,0,0,0,4.27,0,2.81,0,0,0,2.2,0.9,0,0,0,0,1.89,0.61,0,0,21.19,0,0,0,33.07,0,1.19,0.67,0,9.26,0,0,0,3.68,0,0,0,0
108-118,0,0,0,0,3.54,0.59,18.89,0,0,1.13,3.7,2.32,0,0,1.44,0.51,0.48,0,0,0,19.97,0,0,0,62.23,0,0,0,0,0.42,0,0,0,4.4,0,0,0,0
120,0,0,0,0,2.61,1.2,1.04,1.51,0,0,31.87,1.33,0,0,0,0,0,0,0,0,30.11,0,2.75,1.1,101.69,0,0,8.31,0,5.34,0,0,0,0,0,3.09,0,0
