stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.55,745.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96,0,0,0,0,0,0,0,0,0
  5-6,64.81,702.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,11.17,0,0,8.05,0,19.12,0,0,0,0,0,0,0,0,0
  7-9,39.23,27.65,0,24.65,0,0,0,45.54,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0,0,493.16,25.97,0,0,230.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,42.81,0,8.02,0,52.65,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,368.08,16.35,0,0,290.35,0,0,0,17.87,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,13.47,8.51,0,8.26,0,0,0,2.53,1.08,0,0,0,0,0,0,0,0,22.62,0,0,13.59,173.98,8.69,2.02,0,2.27,0,0,21.54,0,8.04,31.49,80.06,0,1.05,0,1.39
 24-34,0,0,3.07,0.59,0.65,0.6,0,12.57,0,0,0,7.6,0,0,0,0,0,0,0,2.09,0.92,26.16,0.69,0,12.71,372.05,2.25,3.31,0,0,0,0,0,0,0,7.5,99.86,0,25.38,0,1.64
 36-46,0,0,0,0,0.56,0,0,54.8,0.68,0,0.64,12.76,0,0,2.38,0,0,0.88,0.8,8.02,1.41,41.87,0,3.3,11.05,446.29,1.31,3.03,0,0,0,0,0,0,0,0,84.17,0,27.39,0,4.93
 48-58,0,0,0,0,3.63,2.73,0,104.84,0,0,1.71,19.16,0.92,0,0.48,0.8,0,1.78,0,1.29,0,39.74,0,3.53,20.87,357.95,0,6.73,1.05,0,0,2.33,0,0,0,0,58.95,1.52,14.05,0,0.5
 60-70,0,0,0,0,2.6,3.24,0,140.95,0.95,0,0.73,26.7,0,0,0.95,1.27,0,0.98,0,0,1.46,79.05,0,4.17,2.57,387.01,0,1.93,1.58,0,0,0,0,0,1.39,0,36.57,1.37,12.11,1.13,5.68
 72-82,0,0,0.64,0,1.46,1.96,0,99,0,9.84,1.2,15.32,0,0,7.48,4.79,0,1.48,0.92,0,0,100.25,0,8.26,2.68,286.27,0,1.99,0.57,0,2.19,0,0,0,0,0,38.57,6.29,45.35,0.59,0.55
 84-94,0,0,2.81,0,2.97,1.58,0,95.56,0,3.01,1.18,24.22,0,0,0,7.3,0,0.58,0.73,0,0,73.09,0,4.64,8.21,229.75,0.65,0,2.22,0,0,8.21,0,0,0,0,18.12,2.45,31.42,0,0
 96-106,0,0,0,0,9.27,0,2.87,71.5,0.86,5,1.14,22.37,2.91,0,5.87,3.97,0.61,1.59,0,5.87,0,80.46,0,12.91,5.82,209.27,0.58,4.73,0,0,5.91,0,0,0,0,0,22.68,1.55,26.05,2.83,5.35
108-118,0,0,0,0,8.49,11.55,4.57,94.39,0.47,7.44,0,34.43,0.45,0,0,2.56,1.18,2.6,0.51,2.82,5.81,130.12,0,11.24,7.57,202.12,0.51,9.54,3.89,0,5.68,0.59,0,0,0.67,0,0,4.48,30.52,7.46,0
120,0,0,1.37,0,3.22,2.18,0,64.33,0,4.64,0,19.98,3.59,0,0,0,0,4.57,0,0,0,59.12,0,0,3.64,195.03,2.36,0,3.98,0,0,0,0,0,0,0,0,2.15,53.1,0,3.14
