stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,8.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,4.71,0,4.64,0,0,0,0
 14-21,0,0.82,4.58,0,0,0,0,0.82,0,0,0,0,0.83,0,0,12.9,0,9.37,0,0,0,0,0
 24-34,0,1.62,0,0,0,0,0,0,0.75,0,0,0,0,1.33,0,5.52,0,53.44,0,3.34,1.49,0,0
 36-46,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,46.47,0,0,1.17,0,4.72
 48-58,0,3.48,0,0,0.63,0,0,0,0,0,0,0,0,0,0,3.92,0,48.89,0,0,0,0,1.73
 60-70,0,1.02,0,0,0,1.25,0,0,0,1.22,0,0,3.87,0.73,0,1.86,0,41.69,0,0,0,0,4.04
 72-82,0,7.13,1.84,0,0,1.08,0.93,0,0,1.5,0.76,0,5.42,0,0,2.54,0,41.13,0,0,0,0,2.44
 84-94,0,0.71,0,0,6.22,2.47,0,0,0,5.52,1.32,0,0.67,0,4.74,0,0,130.96,0.76,0,0,0,2.3
 96-106,0,8.17,0,0,0.65,0.64,0,0,0,7.82,0,1.03,0.7,3.43,0,4.41,0,160.83,4.39,0,0,0.66,3.13
108-118,0,17.08,0,0.97,0.51,1.05,0,0,0,2.05,2.84,0,0,0,0,5.04,0,117.53,0.49,0,0,3.18,2.4
120,0,4,0,0,4.6,9.18,0,0,2.95,1.96,4.52,0,0,0,0,7.6,0,58.87,1.39,0,0,0,5.16
