stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,1.99,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,40.31,0,0,0,0,0,0.91,0,0,0,0,0,4.53,0.91,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.63,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0
 36-46,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,1.85,0,0.94,0,0,0,2.9,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,66.52,0,1.38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,8.61,3.08,0,0,0,0,0,0,0,0,0,0,0,124.69,0,0,0,0,0,12.77,0,0,0,0,0,0.67,0,0,0,0.91,0,0,0,0,0
 72-82,0,0,1.24,1.13,0,24.19,0,0,0.59,8.39,0,0,0.66,1.88,0,0,0,676.87,0,14.07,0,0,2.11,87.06,0,0,0,0,0,0.52,0,0,0,0,0,0,1.05,0,8.76
 84-94,0,0,3.96,6.59,0,33.81,0,0.59,0,3.84,5.91,0,0,1.16,1.38,0,0,2696.05,0,8.79,0,1.94,0.77,70.02,0,0,1.36,0,0,7.33,0,0,0,1.73,2.89,0,0,0,10.55
 96-106,0,0,36.95,28.5,3.11,147.95,0,4.04,0.58,37.37,10.95,0,0.68,9.33,0.56,2.54,1.3,5230.73,0,55.6,0,0,4.28,632.52,1.75,1.34,1.14,0,8.13,56.49,0,0,0.91,3.64,0,1.05,16.81,12.79,1.79
108-118,0,0,10.56,29.78,9,145.33,2.01,3.16,0.7,38.92,5.11,0,0,5.84,1.47,1.61,2.61,10783.87,2.47,87.79,1.45,1.77,5.53,634.58,4.92,3.65,4.17,0,0,42.28,0,0.88,0.43,6.85,7.63,2.42,2.73,4.36,14.96
120,0,0,27.42,22.08,0,100.35,6.09,2.98,19.92,41.53,5.2,5.2,0,4.77,2.26,0,0,6091.78,0,104.91,0,0,16.05,551.95,2.58,13.02,0,0,9,11.69,0,0,0,0,0,0,9.12,0,1.1
