stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.34,573.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,224.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.47,0,0,0,19.62,0,0,9.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7,0,0,0,25.3,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.11,1.95,4.14,1.07,0,1.12,0,1.16,0,6.7,0,0,0,0,0,0,0,0,0.9,0,0,1.54,25.66,2.18,0,5.14,0,0,0,0,3.38,0,0.93,24.11,0,0,0.85,0,0
 24-34,0,0,13.51,0,8.46,0,0,4.1,0,0,0,14.68,0,0,0,0,0,0,5.94,0,2,0,0,0.77,110.07,2.32,2.01,7.62,0,0,2.17,0,0,0,0,84.82,0,0,2.46,0,0
 36-46,0,0,6.11,0,5.42,0,0,8.19,0,0,0,30.5,0,0.56,0,0,0,4.11,0,0,1.47,1.12,0,0.65,186.77,0,0,15.88,0,0,1.22,0,0,0,0,94.48,0,0,7.56,0,0
 48-58,0,0,1.89,0.86,7.39,0,0,31.59,0,1.85,0,126.81,0.38,0,0.37,0,0,0,0,0,8.84,0,0,1.99,360.29,4.96,2.25,20.02,0,0,3.64,0,0,0,0,117.74,0,0,0.53,0,0
 60-70,0,0,3.78,0,7.08,0,0,61.26,0,0,0,365.24,0.95,0.9,0.57,0,9.36,2.16,0,0,27.09,0,11.31,0.96,869.53,0,6.91,19.28,0,0,2.93,0,0,0,0,145.97,0,0,0,0,6.27
 72-82,0,0,6.31,0,4.61,3.31,0,102,0,0,1.3,452.33,0.82,0.58,0,0.52,0,4.6,3.06,0,24.78,0,0,3.39,1080.76,0,0.87,39.26,0,0,5.54,0,0,0.57,0,113.41,0.62,0,1.51,0.56,13.92
 84-94,0,0,5.47,1.04,7.35,3.98,0,105.86,1.27,0,0,323.84,1.52,0,1.7,0,0,3.29,9.21,0,46.44,0,1.84,6.64,910.27,0,0,12.79,0,0,21.02,0,0,0,0,61.76,0,3.58,5.28,0,30.52
 96-106,0,0,11.37,0,4.68,7.06,0.8,135.95,0,0,4,344.02,2.03,0.66,0.8,0,0,0.58,17.41,0,31.39,0,0,0.7,924.03,0.85,0,17.64,0,3.88,8.76,0,0,1.71,0,75.15,1.13,0,2.11,0,76.24
108-118,0,0,3.61,1.13,22,0,0,123.72,2.63,0,0,351.87,0.43,0.43,1.64,0,0.83,1.49,0,0.58,28.39,0,0,1.69,1031.99,0,2.04,53.03,0,0,9.11,0,0,0,0,35.97,0.63,0,2.14,1.03,66.25
120,0,0,10.2,0,6.59,8.66,0,148.39,2.98,0,6.21,461.04,6.96,0,2.39,0,0,2.11,18.38,0,30.66,0,0,5.33,1991.17,3.31,0,67.03,0,0,0,0,0,2.05,0,41.21,1.81,0,0,17.64,18.98
