stage,epidermis,fin.epithelia,immune,ionocyte,mesenchyme,mucous,neural,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,21.65,0,0,0
 24-34,5.5,0,1.21,0,0,0.84,5.96,4.4,8.43,0
 36-46,10.17,0,0,0,0,0,0,13.37,1.02,0
 48-58,8.68,4.14,1.79,0,0,0,0.41,1.18,0,0
 60-70,4.39,0,0,0,0,0,0,14.28,0,0
 72-82,0,0,0.65,0,0.5,0,0,1.59,0,0
 84-94,5.22,0,0.84,0,0,0,0,14.22,0,0.91
 96-106,5.2,0.56,0.69,0,0,0,0,16.27,0,0
108-118,6.08,4.52,1.01,0.65,0,0,0,15.65,0,0
120,26.02,0,1.79,0,0,0,0,9.08,0,0
