stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,6.49,0,0
 48-58,0,0,0,0,0,0,0,0,0.41,2.04,0,0,0,0,0,0,0,0,0
 60-70,0,12.88,0,0,0,0.89,0,0,4.81,23.94,0,0,0,0,0,0,0,0,0
 72-82,0,5.91,0,0,0,1.19,0,1.31,58.2,12.96,0.55,0,30.51,0,0,0,0,0,0.62
 84-94,0,14.95,0,1.19,0,7.28,0,0,123.72,18.08,0,0,10.8,0,0,0,0,0,0.57
 96-106,0,15.7,1.45,5.31,0,16.39,0,9.02,325.72,54.92,13.77,1.25,81.89,0,12.51,0,0,0.77,0
108-118,0,4.54,4.72,1.09,0,17.53,0.43,0,397.06,50.66,0,3.42,51.05,0,0,1.41,0,0,1
120,0,3.74,0,0,1.14,1.29,0,0,284.59,58.96,0,0,54.09,0,0,0,0,0,0
