stage,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,4.19,0,1,0,0.83,6.39,0,0,0,0.86,0.85,0.82,0,0
 24-34,0.79,0,0,0,0,6.88,0,0,0,0,0,0,0,0
 36-46,0,0,1.34,0,0.61,21.04,0,0,0,0,0,0,0,1.8
 48-58,0,1.3,1.1,0,0,6.06,0,4.51,0,0,0,0.81,0,0
 60-70,0,0.86,1.3,0,0,15.4,0,0,2.66,0,0,4.03,2.96,0
 72-82,0,0,0,1.26,0.61,0.55,0,0,0,0,0,0,0,0
 84-94,0.61,0.65,0,0,1.24,0,0,0,1.01,0,0,6.86,2.5,0
 96-106,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0
108-118,0,6.71,0,0,1.89,2.2,0.7,0,0,0,0,0,0,0
120,1.23,0,3.29,0,0,0,0,0,3.62,0,0,0,0,0
