stage,epidermis,eye,fin.epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord
 14-21,1.27,0,0,1.22,0,0,0,0,0,0,2.44,0,0.89,0.81,0,0
 24-34,0,1.91,0,0,0,0,0,1.28,0,0,10.07,0,0,0,0,1.23
 36-46,0.58,2.89,0,0,0,0,0,0,0,0,6.74,0,0,0,0,7.48
 48-58,0,2.66,0.41,2.1,0,0,0,1.31,0,0,8.43,0,0,0,0,2.32
 60-70,0.72,7.47,0,0,1.59,0,0,0.99,0.85,1.18,14.06,6.08,0,0,0,1.64
 72-82,0,7.74,0,0.77,0,0,0,0,0,0,3.54,0.76,0,0,0,0
 84-94,0,2.39,0,0,0,0,0,0,0,0,10.3,1.58,0,0,0,1.48
 96-106,0,0,0,0.88,0,0,1.03,1.06,0,0,0.8,0.7,0,0,0,0
108-118,0,0,0,0,0,0.5,0,3.43,0,0,9.29,2.56,0,0,0.66,0
120,0,0,0,0,0,0,0,0,0,1.9,0,1.09,0,0,0,0
