stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,32.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,15.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,6.28,0,0,38.88,0,11.28,0,0,0,0,0,0
 14-21,0,0,0,1.85,0.87,3.27,0,0,0,0,0,0,0,0,0,0.99,0,5.66,28.91,0,0,0,0,1.52,0,0.85,2.23,0,0,0,0
 24-34,0,0,0,1.62,0,4.81,0,0,0,0,0,0.64,0,0,0,0,0,0,56.49,0,3.29,0,0,3.43,0,0,6.93,0,5.41,0,0
 36-46,0,0,0,0.98,0,6.23,0,1.35,5.89,0,0,1.77,0,0,2.12,1.51,0,0.61,52.83,1.78,1.73,0,0,3.61,0,0,5.73,0,1.66,0,0
 48-58,0,0,0,2.99,0,23.78,0,0.93,3.17,0,0,3.25,0,0,2.91,6.11,0,1.07,101.46,0,0.88,0,0,0,0,0,12.56,0.61,8.15,0,2.85
 60-70,0,0,0,0.76,0,35.87,0,2.03,23.8,0.96,0,0,0,0,0,14.46,0.98,0.68,100.29,0,1.29,4.42,0,4.28,0,0,6.73,0,1.09,0,0
 72-82,0,0,0.57,0,7.33,49.33,0,0,7.32,0,0,0,0,0,0,7.87,0,0,60.71,0,0,0,0,0.95,0,0,17.53,0,3.66,1.2,0
 84-94,0,0,0,0.55,0,11.91,0,1.77,3.61,0,0,0,0,0,0,4.21,0,0,33.35,0,0,0,0,1.32,0,0,4.65,0,1.8,2.45,0
 96-106,0,0,1.08,0.88,0,22.85,0,0,0.9,0,0,0.94,0.92,7.17,0,5.4,0,0,19.41,0,0,1.42,0,0.88,0,0,7.88,0,0,0,0
108-118,0,0,0,0.87,0,12.14,0.89,0,5.1,0,1.09,1.17,0,0,0,11.95,0,0.41,20.02,0,0,0,0,4.63,0,0,0,0,0.56,0,0
120,0,0,0,1.21,5.61,26.89,0,14.64,38.03,2.48,4.26,0,0,0,0,20.4,0,2.23,57.27,0,0,0,0,3.8,0,0,0,0,0,0,0
