stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.6,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,51.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,3.05,2.19,0.86,0,0,0,1.72,0,4.38,0,0,0,0,0,0,0,1.13,0,0,20.93,0,0,0,0,0,0.88,0,0,2.45,9.76,0,0,0,0
 24-34,0,0.61,0,1.33,0,6.53,0,0,0,0,0.67,0,0,0,0,0.64,0,0,1.9,0.82,0,0,152.65,0,4.54,1.85,0,0,0,0,0,0.6,47.88,0,6.89,0,0
 36-46,0,0,0,0,0,10.68,0,0,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,149.65,0,4.59,0,0,12.11,0,1.25,0,0,52.16,0,0,0,0
 48-58,0,0,0,0,0,70.63,0,0,0,7.21,0,0,0.44,0,0,0,0,0,0.39,2.54,0,1.32,242.79,0,7.51,0.42,0,2.91,0,0,1.46,0,35.61,0,1.97,0,0
 60-70,0,0.82,0,0,0,230.2,0,0,0,36.9,0,0.97,0.93,0,0,0,0,0,0,11.3,0,3.59,280.74,0,2.65,0,0,0,0,0.59,0,0,51.67,0,0,0,0
 72-82,0,0,0,4.44,0,398.19,0,0,0.61,29.56,1.4,0,0,0,0,0,0,3.84,0,8.38,0,0.66,343.98,0,4.37,0,0.84,0.65,0,0,0,0,48.3,3.17,2.75,0.72,1.14
 84-94,0,2.35,0,0,0,370.81,0,0,0,31.91,0.86,0,0,0,0,1.33,0,0,0,10.37,0,0,244.97,0,4.26,0.65,0,23.39,0,0,0,0,22.16,0,10.14,1.32,0
 96-106,0,0.83,0,2.19,5.67,457.61,0,0.6,0,88.44,0,0,1.61,0,0,1.76,0,0,0,7.25,0,0,350.11,0,0.68,0.59,2.88,1.53,0,0,0,0,4.08,1.84,5.77,1,0
108-118,0,5.8,0,7.05,1.44,561.71,0,0,0,65.84,3.18,0,0,2.22,0,7.87,0,14.68,0,19.89,0.46,0,297.74,1.39,15.35,1.4,1.31,10.29,0,0,0,0,21.87,3.26,4.94,0,0
120,0,0,0,18.03,0,435.35,2.44,0,0,91.5,6.84,0,1.85,0,2.06,1.91,2.92,6.07,0,45.87,0,0,811.96,0,7.53,4.68,4.59,0,0,0,0,0,0,0,5.35,4.27,0
