stage,blastomeres,epidermis,erythrocytes,eye,gut,mesenchyme,neural,otic,periderm,spinal.cord
  3-4,147.44,0,0,0,0,0,0,0,0,0
  5-6,108.24,0,0,0,0,0,16.42,0,0,0
  7-9,0,0,0,0,0,0,27.82,0,0,0
 10-12,0,0,0,0,0,0,28.88,0,3.07,0
 14-21,0,0.93,0,0,0,0,0,0.84,1.01,0
 24-34,0,0,0,0.76,0,0,1.97,0,0.7,0
 36-46,0,0,0,0.56,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.1,0,0,0,4.71
 60-70,0,0,0,1.39,0,0,1.28,0,0,0
 72-82,0,0,0,0,0,0.84,5.1,0.67,0,0
 96-106,0,2.56,0,0,0.64,0,0,0,0,0
108-118,0,0,0,0,0,0,2.8,0,0,0
120,0,0,6.26,2.45,0,0,12.44,0,0,0
