stage,epidermis,eye,fast.muscle,glial,gut,liver,mesenchyme,muscle,neural,otic,periderm,pronephros,somites,spinal.cord
 14-21,0.89,0,0,0,0,0,0,0,0,0,0,0,1.29,0
 24-34,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,13.26,0,0,1.02
 48-58,0,0,0,4.3,0,0,0,0,0.65,0,4.55,0,0,0
 60-70,0,2.34,0,0,0,0,0,5.2,1.7,0,1.79,0,0,0
 72-82,0,1.56,0,0,0,0,0,0,4.09,0,1.85,0.65,0,0
 84-94,0,0,0,7.11,0,1.44,0,0.75,0,0,1.86,0,0,0
 96-106,0,0,0,0,0,0,2.2,0,1.06,0,0,0,0,0
108-118,0,0,0.73,1.2,0.63,2.99,2.92,0,1.17,1.14,2.13,0,0,0
120,0,0,0,0,0,0,0,3.16,11.79,0,10.58,0,0,0
