stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.26,0,0,0,0,0,7.27,0,0,0,0,0,65.59,8.25,0,0,61.56,0,0,0,0,0,0,0,0,0
 10-12,0,3.45,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,129.87,0,0,0,36.93,0,0,0,22.2,0,0,3.28,0,0
 14-21,0,0,8.62,6.33,2.68,0,0,0,19.19,0,0,0,0,0,4.47,0,69.75,3.02,0,6.26,0,0,0,6.55,17.14,0,2.59,74.43,0,0
 24-34,0,0,1.73,0,7.89,0,0,0,22.44,0,0,0,0,0.62,5.52,1.39,85.88,0,2.57,0.63,0,0,1.36,0,5.84,6.26,0,43.57,0,0
 36-46,0,0,0,0,19.61,0,0,0,8.16,0,0,0,0,0.66,3.18,3.99,57.85,0,1.91,1.36,0,0,0,0,3.52,0,0,35.92,1.09,0
 48-58,0,0,2.05,0,31.84,0.63,5.07,0,23.96,0,0,0,0,0,7.62,0.68,55.1,0,0.5,1.54,0,0,0,0,1.47,0.4,0,24.34,0,0
 60-70,0,0,0,0,47.42,0,0,0,14.4,0,0,0,0,5.4,9.72,0,67.45,0,3.77,1.55,0,0,0,0,6.96,0,0,25.92,0,0
 72-82,0,0,0.51,0,16.41,0,0,1.27,11.25,0.84,0,0,0,1.79,5.15,1.23,28.22,0,7.68,0.57,0,0.71,1.08,0,0,0,0,7.5,2.38,0
 84-94,0,0,0.56,0,7.59,0,0,0,4.43,0,0,0,0,0,4.64,0,17.34,0,3.17,4.17,0,0,0,0,0,0,0,4.23,0,0
 96-106,0,0,0,0,3.85,0,0,0,1.81,0,0,0,0,0.62,2.16,0,17.63,0,5.14,3.36,0,0,0,0,0,0,0,1.58,0,1.67
108-118,0,0,1.48,0,7.3,0,0,0,6.12,0.47,0,1.04,0.48,3.64,4.32,1.5,24.85,0,0.53,6.35,0,4.36,0.44,0,0.64,0,0,1.03,0.63,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.77,0,1.23,8.59,0,3.8,1.29,0,0,0,0,4.05,0,0,0,0,0
