stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,15.31,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.26,0.91,0,7.37,0,0,0,0,0.84,0
 24-34,0,0,2.16,0,0,0,0,0,5.48,1.58,0,13.09,0,1.1,0,0,6.05,0
 36-46,0,0,24.09,0.67,0,0,2.13,0,6.79,0.64,0,35.44,1.22,1.4,0,0,5.05,0
 48-58,0,0,48.42,1.52,0,0,5.16,0,0,0.79,0,56.8,0,0,0,0,4.9,0
 60-70,0,0,125.14,0,0,0,11.96,0,2.38,0.69,0,118.17,0,0,0,2.98,12.04,0
 72-82,0,0,134.98,0.5,0,0,55.68,0,0,4.52,0,131.3,0,0.61,0,0,10.46,0
 84-94,0,0,100.15,0.98,0,0,80.76,0,0,2.65,0.86,85.86,1.04,0,0,0,9.34,0
 96-106,0,0,163.61,0,0.57,0,60.89,0,0,7.65,0,92.29,0,0,0,0,2.09,0
108-118,0,0.87,143.48,0,0,0.73,105.28,1.01,0,6.7,0,99.77,0,0,0,0,1.14,2.33
120,0,0,102.55,0,0,0,100.39,0,0,5.98,0,173.19,0,0,0,0,0,0
