stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,55.56,0,0,0,23.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,31.28,0,0,0,63.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,1.18,0,0,0,0,0,0,4.12,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0.69,0,0,10.44,1.7,0,0,0.61,0,2.91,0,0,9.33,0,0.9,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.58,0,1.03,2.61,0,0,0,0,0,0,0,54.96,0,1.27,5.1,12.62,0,0,0,0,0,0,0,2.59,0,0,1.44,0,5.21,0,0,0
 48-58,0,0,1.48,0,0,20.63,0,0.94,6.28,0.8,0,0,0,0,0,0.48,315.46,0,5.94,14.7,44.24,0,0,0,0,0.81,0,0,0.46,0,0,2.18,0,0,0,0,0
 60-70,0,0,4.49,0,0,30.91,0,0,38.06,2.8,0,3,0,1.84,1.15,5.69,996.85,0,0,34.72,62.53,0,0.9,0,0,12.94,0,0,0.59,0,0,7.94,0,1.9,0,0.89,0
 72-82,0,0,12.68,0.71,0,104.75,0,3.5,54.61,3.85,0,1.04,0.66,0.7,0,11.83,1283.03,0,9.82,56.39,98.24,0.81,0,0,0,32.35,0,0,4.25,0,0,3.44,0,19.1,0.65,0.57,0
 84-94,0,0,18.46,0,0,114.37,1.88,17.17,57.65,6.92,0.64,0,0,1.7,0.66,42.95,1063.5,0,40.91,23.91,79.02,0,0,0,0,8.63,0,2.8,7.12,0,0,3.71,1.26,19.96,0,7.45,1.57
 96-106,0,0.95,48.9,4.07,4.59,167.54,3.25,4.67,75.5,9.15,0,10.51,0,3.28,0,81.87,1233.93,5.16,3.58,21.68,108.65,5.13,1.28,0.69,0,91.5,5.57,0,8.91,8.82,0,5.85,2.15,17.28,2.87,6.77,0
108-118,0,0,38.32,4.23,6.59,146.48,0.58,0,66.8,10.3,0,15.13,0.98,1.44,2.37,111.61,1221.38,0,12.46,33.91,106.17,2.86,0.6,0.73,0,112.94,2.16,0,18.58,0,0,3.61,8.61,54.34,1.18,2.59,0
120,0,0,42.75,0,0,59.95,2.08,5.57,85.45,7.16,0,0,0,7.01,0,64.64,1104.53,0,8.02,46.6,54.85,5.5,0,0,0,123.32,2.4,0,12.8,0,0,11.27,1.64,6,0,0,0
