stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,32.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,6.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.99,12.66,0,0,4.26,0,0,0,0,0,0,0,0
 14-21,0,1.3,0.83,0,0,0,0,0,1.08,2.61,2.5,0,0,0,0,0,0,3.8,0,0,5.32,18.92,0,0,0,0,0,1.75,1.17,10.89,0,0.86,0,0
 24-34,0,0.7,2.02,0.69,1.39,0,0,0,2.46,0,0,0,0,0,0,0,0,19.44,0,0,15.74,24.96,0,0,0,0,2.57,0.6,0,3.12,0,1.98,0,0
 36-46,0,0,0.68,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,8.62,0,0,6.15,17.37,1.12,0,0.83,0,10.95,5.15,0,6.92,0,0.75,0,0
 48-58,0,0,7.94,0,2.15,0,0,0.44,0,0,0,0,0,0,0,0,0.41,6.86,0,0.37,1.23,7.54,0.93,0,0,0,4.02,0.92,0,4.97,0,5.32,0,0
 60-70,0,0,0,0.78,7.86,0,1.68,1.2,0,2.6,0,0,0,0,0,2.19,0,17.99,0,0,3.64,9.84,1.83,0,0,0,0,0.62,0,3.5,0,2.43,0,0
 72-82,0,0,2.91,5.96,0.96,0,0,1.07,1.95,1.45,0,0,0,0,0,0,0,11.13,0.61,0,2.23,2.63,0,0,0,0,0.66,0,0,0.96,0,4.47,0,0
 84-94,0,0,0.65,12.13,0,1.03,0.86,1.05,3.42,1.43,0,0,0.6,0,0,1.64,5.1,14.18,0,0,0.57,8.99,0.57,0,0,0,2.13,0,0,0,0,9.03,1.66,2.6
 96-106,0,0,0.61,18.1,0,0,0,0.75,2.31,3.65,0,0,0,1.05,0,14.21,1.15,31.58,0,1.05,1.37,2.41,0,0.57,0,0,7.7,0,0,0,3.49,8.12,2.62,1.69
108-118,0,0,0,2.35,2.86,0,0.6,0,6.29,1.59,0,0.51,0.86,1.59,0.41,1.83,0,20.83,0,3.32,0,14.28,0,0,3.26,0,3.08,0.51,0,5.31,1.17,19.88,0,0
120,0,0,2.26,19.21,0,0,1.75,0,0,1.15,0,3.79,3.78,0,0,0,0,25.52,0,0,0,5.84,4.62,0,0,0,8.96,0,0,0,0,0,0,0
