stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,17.74,171.44,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
  5-6,0,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,2.83,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,47.9,0,0,0,0,14.65,0,0
 36-46,0,0,0,0,0,0,0,0,4.4,0,0,84.19,0,1.06,0,0,34.7,0,0
 48-58,0,0,0,0,0.77,0,0,0,0,0.37,0,204.79,6.62,0,0.54,0,25.13,0,0
 60-70,0,0,0,1.52,12.31,0,0,0,0.97,1.3,0,388.11,0,0,0,3.2,56.84,0,0
 72-82,0,0,0,5.35,9.22,0,1.74,0,0,2,0,430.52,0,0,0,0,35.9,0,5.24
 84-94,0,0,1.16,0.56,8.49,0,0.96,0,0,4.82,0,257.29,0,1.39,1.74,0,48.64,0,0
 96-106,0,0,0,1.89,16.53,0,0,0,0,2.03,0,292.1,0,0,0,0,9.86,0,0
108-118,0,0,0,3.74,11.61,0,5.1,0.81,0,3.38,0,331.69,0,1.09,0,0,25.35,1.03,0
120,0,0,0,8.52,66.18,1.33,11.43,0,0,25.05,3,1056.88,0,3.86,11.71,0,45.94,0,0
