stage,epidermis,eye,fin.epithelia,gut,immune,ionocyte,mesenchyme,neural,periderm,pronephros,spinal.cord
 24-34,0,0,0,0,0,0,0,3.86,2.6,0,0
 36-46,0.65,0,0,0,0,0,0,11.49,2.75,0,0
 48-58,0,2.04,0,0,0,0,0.44,0.8,2.61,0,0.99
 60-70,0,2.98,0.57,0,0,0,0,7.88,7.6,0,0
 72-82,1.13,5.54,0,0,0.98,0,0,0,0,0,0
 84-94,1.49,0.86,0,0,0.65,0,0,0,0.83,0,0
 96-106,0,4.25,0,0.83,0,0.6,0,2.83,3.94,0,0
108-118,1.16,0,0.48,0,0,0,0,5,7.51,1.48,0
120,0,4.39,0,0,0,0,0,7.88,21.12,0,0
