stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,3.31,4.81,0,0,0,0,0,0,0,0
 14-21,0,7.24,74.32,0,0,0,0,0,0,6.23,2.14,0,0,0,0,0,0,0,0,1.06,24.41,0,0,0,6.93,0.9,0,2.69,2.98,0,0,42.4,0,0
 24-34,0,14.17,12.18,0,0.61,1.37,0,0,0,2.91,15.21,0,0,0,0.96,0,0,0,0,1.06,29.37,0,0,0,9.5,0,0,0,8,0,0,220.02,0,0
 36-46,0,21.82,0,0,0,2.73,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,89.92,0.93,0,0,9.39,0,0,0,11.09,0,0,121.41,0,1.45
 48-58,0,40.21,2.7,0,8.18,11.18,0,2.91,0,8.9,3.42,0,0,0,0,0,0.58,0,0,0.44,123.31,0,0.89,0,1.12,0,0,0,14.62,0,0,95.16,0,0
 60-70,0,13.98,10.5,0,15.42,31.9,3.35,21.19,0,0,0.92,0,0,0,0,2.76,4.76,0,0,0,300.85,0,0,0,0,0,0,0,36.75,0,0,110.56,0,0
 72-82,0,19.67,0.91,0,51.3,3.88,0,200.69,1.68,0,7.2,0,0,0,3.03,19.71,27.39,0,0,0,337.87,0.75,0,2.76,14.16,0,0,0,28.86,0,0,259.52,0.57,0
 84-94,0,45.06,0,0,28.22,21.35,0,159.86,0,1.9,1.66,0.64,1.42,0.67,1.09,33.09,6.02,0,1.27,0,262.58,0,0,0,16.43,0,0,0,18.75,0,0,181.02,1.2,0
 96-106,0,40.25,0.6,0,25.81,20,1.12,136.77,2.22,0,8.77,0.56,0,0,0,24.65,10,0.61,0,0,191.62,0,0,0,40.64,0,0.58,0,5.81,0,0.56,245.65,6.73,0
108-118,0,62.83,1.08,1.37,37.85,38.03,0,268.34,1.9,0,1.62,1.18,0,0,2.57,45.57,26.77,1.56,0,0,236.49,0,0,0,23.95,0,0,0,13.11,3,1.66,200.83,1.75,0
120,0,72.82,0,0,52.23,25.53,0,242.59,1.26,0,10.75,0,3.28,0,0,25.98,69.57,0,0,0,333.33,1.29,4.01,0,22.01,0,0,0,2.78,1.84,0,348.24,5.83,0
