stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0
 10-12,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.99,1.03,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0.98,33.6,0,0,0,0,0,0.92,8.05,0,0,0,0,0
 24-34,0,11.81,0.68,0,2.51,0,12.94,0,1.83,0,0,0,0,0,1.14,0,0,10.43,2.99,0,0,0.91,321.38,0.67,0,0,0,0,0.65,76,0,0,0.72,0,5.23
 36-46,0,3.84,0,0,4.97,0,9.01,0,2.09,0,0,0,0,0,0,0,0,9.86,5.25,0,0,0.78,732.89,0,2.21,0,0,0,0,87.39,0,0,0,0,10.95
 48-58,0,5.86,6.25,0,28.19,0,13.06,0,1.51,0,0,0,0,0,0,0,0,3.45,9.67,0.53,3.15,1.27,1112.36,0,2.47,0,0,0,0,90.39,0,0,2.2,0,0.56
 60-70,0,4.69,2.31,0,49.32,0,6.06,0,13.98,0,0.66,0,0,0,0,0,0,3.73,19.91,0,3.39,0,1086.62,6.22,0,0,0,0,0,119.4,0,0,2.06,0,0
 72-82,0,8.11,11.25,0.89,126.69,1.52,6.34,10.21,8.68,1.84,0,1.04,0,0,3.36,0,0,4.67,44.72,0,7.26,0,1886.2,1.18,1.8,0,2.44,0.49,0,103.99,0.86,9.01,8.52,0,0.55
 84-94,0,8.16,9.9,0,77.74,0,5.29,0,35.5,5.34,0,0,0,0,0,0,0,0,38.04,0,0.85,0,1049.75,0,3.58,0,2.05,0,0,84.41,2.55,0,0,2.44,0
 96-106,0,2.52,8.1,11.46,118.14,0,0,3.66,25.8,2.95,0,0,0,0,0,3.32,0,6.43,24.8,0,0,0,866.66,0,16.92,0,11.29,0,0,23.38,0,2.19,0,0,7.19
108-118,0,7.21,1.27,0,109.65,0,3.04,0,7.01,0.99,0,0,3.47,0.57,0,0,3.13,2.99,39.66,0,0,1.2,1139.2,0,6.3,0,12.58,0,0,15.61,0,1.82,0,0,0
120,0,1.73,40.31,0,33.61,0,4.11,0,23.88,0,0,0,0,0,0,0,2.27,0,50.72,0,4.81,0,1303.6,0,7.82,0,0,0,0,23.6,0,0,0,0,0
